time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.0_df055,sessions_since_bearish_13_50_df059
2005-02-01 00:00:00+00,LONG,1144,0.962962962962963,0.0025215915,19.0
2005-02-01 00:00:00+00,LONG,3216,0.21462690962747302,0.0033899746,14.0
2005-02-02 00:00:00+00,LONG,3216,0.22834339958967853,0.0069942614,15.0
2005-02-02 00:00:00+00,LONG,3703,0.0,0.0445532,10.0
2005-02-02 00:00:00+00,LONG,1910,0.0,0.005852618,16.0
2005-02-03 00:00:00+00,LONG,3216,0.21790805349156253,-4.762652E-5,16.0
2005-02-03 00:00:00+00,LONG,3355,0.0,0.048287272,9.0
2005-02-03 00:00:00+00,LONG,3703,0.0,0.021071088,11.0
2005-02-04 00:00:00+00,LONG,1191,0.0,0.0063250256,15.0
2005-02-04 00:00:00+00,LONG,3355,0.0,0.018867608,10.0
2005-02-04 00:00:00+00,LONG,3681,0.3486722243879405,-2.3056206E-4,12.0
2005-02-04 00:00:00+00,LONG,3703,0.0,0.017195132,12.0
2005-02-07 00:00:00+00,LONG,3355,0.0,0.0045679943,11.0
2005-02-16 00:00:00+00,LONG,444,0.0,0.012491149,23.0
2005-02-16 00:00:00+00,LONG,3287,0.9090909090909091,0.0032288292,4.0
2005-02-17 00:00:00+00,LONG,2070,0.0,0.006159236,8.0
2005-02-17 00:00:00+00,LONG,135,1.0,0.032166068,9.0
2005-02-22 00:00:00+00,LONG,401,0.3025803285735399,0.024897799,25.0
2005-02-22 00:00:00+00,LONG,1851,0.6684334581304967,0.007265829,12.0
2005-02-23 00:00:00+00,LONG,2504,0.0,0.034906622,5.0
2005-02-24 00:00:00+00,LONG,3652,0.0,0.015184194,9.0
2005-02-25 00:00:00+00,LONG,3652,0.0,0.005883528,10.0
2005-03-01 00:00:00+00,LONG,3652,0.0,0.0011174727,12.0
2005-03-14 00:00:00+00,LONG,1677,1.0,0.010033867,10.0
2005-03-14 00:00:00+00,LONG,1678,1.0,0.010037192,10.0
2005-03-16 00:00:00+00,LONG,2247,0.8639843807191345,0.018546075,10.0
2005-03-16 00:00:00+00,LONG,1149,0.9168887952886046,0.009088707,15.0
2005-03-16 00:00:00+00,LONG,1916,1.0,0.011544489,6.0
2005-03-17 00:00:00+00,LONG,3273,0.5526315789473685,0.108148776,4.0
2005-03-17 00:00:00+00,LONG,2006,0.4386649767580602,0.028872035,10.0
2005-03-18 00:00:00+00,LONG,4197,0.40929512334752716,0.013103989,11.0
2005-03-18 00:00:00+00,LONG,2247,0.7337443989436876,0.0015593434,12.0
2005-03-18 00:00:00+00,LONG,3273,0.5263157894736843,0.07134371,5.0
2005-03-18 00:00:00+00,LONG,2006,0.42646314673789204,0.020338073,11.0
2005-03-21 00:00:00+00,LONG,4197,0.4061958573875883,6.914812E-4,12.0
2005-03-21 00:00:00+00,LONG,2247,0.7945604084374783,0.0019128416,13.0
2005-03-21 00:00:00+00,LONG,3273,0.5,0.03364739,6.0
2005-03-21 00:00:00+00,LONG,2006,0.42865138639213674,0.015324824,12.0
2005-03-22 00:00:00+00,LONG,3273,0.4736842105263158,0.012800276,7.0
2005-03-22 00:00:00+00,LONG,2006,0.38498369111906305,0.006001053,13.0
2005-03-23 00:00:00+00,LONG,2643,1.0,0.0012125598,8.0
2005-03-29 00:00:00+00,LONG,4176,1.0,0.022743123,24.0
2005-03-29 00:00:00+00,LONG,84,1.0,0.009718754,5.0
2005-03-31 00:00:00+00,LONG,3641,1.0,0.02059529,15.0
2005-04-01 00:00:00+00,LONG,4223,0.5925976164451335,0.0245766,10.0
2005-04-01 00:00:00+00,LONG,3641,0.9655172413793104,0.022898875,16.0
2005-04-04 00:00:00+00,LONG,4223,0.5477791937731813,0.018844387,11.0
2005-04-04 00:00:00+00,LONG,2751,0.6468003636669314,0.009110718,7.0
2005-04-04 00:00:00+00,LONG,3641,0.9310344827586207,0.014740384,17.0
2005-04-08 00:00:00+00,LONG,2248,0.0,0.12376081,5.0
2005-04-08 00:00:00+00,LONG,984,0.0,0.083310135,4.0
2005-04-11 00:00:00+00,LONG,2248,0.0,0.081916876,6.0
2005-04-11 00:00:00+00,LONG,984,0.0,0.06471876,5.0
2005-04-12 00:00:00+00,LONG,2248,0.0,0.037169006,7.0
2005-04-12 00:00:00+00,LONG,984,0.0,0.07716691,6.0
2005-04-13 00:00:00+00,LONG,2248,0.0,0.0020993003,8.0
2005-04-13 00:00:00+00,LONG,984,0.0,0.09650847,7.0
2005-04-14 00:00:00+00,LONG,984,0.0,0.060483743,8.0
2005-04-15 00:00:00+00,LONG,1,1.0,0.011737586,14.0
2005-04-15 00:00:00+00,LONG,2088,0.4768187445864578,0.012393753,14.0
2005-04-15 00:00:00+00,LONG,234,0.0,0.032783907,4.0
2005-04-15 00:00:00+00,LONG,540,0.6643908100364903,0.012758164,16.0
2005-04-15 00:00:00+00,LONG,2930,0.27438809314010604,0.024751639,16.0
2005-04-15 00:00:00+00,LONG,984,0.0,0.060877707,9.0
2005-04-15 00:00:00+00,LONG,3794,1.0,0.054506376,11.0
2005-04-15 00:00:00+00,LONG,1985,1.0,0.0056911106,11.0
2005-04-18 00:00:00+00,LONG,142,0.5412770767386312,0.02281169,7.0
2005-04-18 00:00:00+00,LONG,221,0.5922312466691744,0.0011178089,17.0
2005-04-18 00:00:00+00,LONG,540,0.6147053345084865,0.0034153343,17.0
2005-04-18 00:00:00+00,LONG,2686,0.4569886326227233,0.013200029,10.0
2005-04-18 00:00:00+00,LONG,694,1.0,0.0021479793,19.0
2005-04-18 00:00:00+00,LONG,786,1.0,0.0039069927,14.0
2005-04-18 00:00:00+00,LONG,858,1.0,0.05788928,20.0
2005-04-18 00:00:00+00,LONG,2930,0.21045795414210386,0.016153065,17.0
2005-04-18 00:00:00+00,LONG,3127,1.0,0.03467039,14.0
2005-04-18 00:00:00+00,LONG,3137,1.0,0.024771411,9.0
2005-04-18 00:00:00+00,LONG,1092,0.6218901159882064,0.03480581,18.0
2005-04-18 00:00:00+00,LONG,3335,0.6814001637097814,0.020896813,10.0
2005-04-18 00:00:00+00,LONG,3744,0.0,0.0048340037,28.0
2005-04-18 00:00:00+00,LONG,3791,1.0,0.0026529278,26.0
2005-04-18 00:00:00+00,LONG,3794,0.9767441860465116,0.041694317,12.0
2005-04-18 00:00:00+00,LONG,3853,1.0,0.022183893,8.0
2005-04-18 00:00:00+00,LONG,3905,0.6779578783322777,0.009754449,9.0
2005-04-18 00:00:00+00,LONG,1985,0.9761904761904762,8.950257E-4,12.0
2005-04-19 00:00:00+00,LONG,142,0.3710416513709797,0.002815746,8.0
2005-04-19 00:00:00+00,LONG,2930,0.1816167118473044,0.0040463475,18.0
2005-04-19 00:00:00+00,LONG,3137,0.9787234042553191,0.010277549,10.0
2005-04-19 00:00:00+00,LONG,1092,0.5264031712034484,0.014144615,19.0
2005-04-19 00:00:00+00,LONG,3293,0.3316806458230659,3.6655433E-4,4.0
2005-04-19 00:00:00+00,LONG,3335,0.6209131252171328,0.0071421233,11.0
2005-04-19 00:00:00+00,LONG,3794,0.9534883720930233,0.031093832,13.0
2005-04-20 00:00:00+00,LONG,142,0.6063125167000792,0.020083647,9.0
