time,side,ticker_id,mv_dn_composite_labels,volume_spike_1_df057,dist_upper_bb_20_2.0_df055
2005-04-26 00:00:00+00,SHORT,1631,0.0,-0.08853724,-0.011444754
2005-04-26 00:00:00+00,SHORT,1851,0.0,-0.18047224,-0.0070305998
2005-05-04 00:00:00+00,SHORT,4136,0.8333333333333334,-0.039087947,-0.008610765
2005-05-04 00:00:00+00,SHORT,405,0.8847062333874375,-0.07903392,-0.0070383386
2005-05-04 00:00:00+00,SHORT,2527,0.0,-0.027226498,-0.005477686
2005-05-04 00:00:00+00,SHORT,558,0.601188259337888,-0.12379312,0.0015989892
2005-05-04 00:00:00+00,SHORT,2961,0.22333624918725187,-0.09921367,-0.0044464017
2005-05-04 00:00:00+00,SHORT,1361,0.35297435559813267,-0.16298574,-0.008750381
2005-05-06 00:00:00+00,SHORT,3586,1.0,-0.069428235,-0.009980223
2005-05-10 00:00:00+00,SHORT,870,0.0,-0.043771043,-0.0075554177
2005-05-18 00:00:00+00,SHORT,610,0.8481145317105129,-0.16703662,-0.008555288
2005-05-19 00:00:00+00,SHORT,2462,1.0,-0.036412816,-0.008146161
2005-05-20 00:00:00+00,SHORT,2067,0.6459612209834655,-0.049792733,-0.003872059
2005-05-23 00:00:00+00,SHORT,610,0.47789414823907633,-0.10473515,-0.011654369
2005-05-27 00:00:00+00,SHORT,3794,0.345718839790073,-0.06872816,-0.009888352
2005-06-03 00:00:00+00,SHORT,19,0.9,-0.06698337,-0.0019248867
2005-06-03 00:00:00+00,SHORT,1139,0.16858466375796904,-0.11581013,-0.009211159
2005-06-07 00:00:00+00,SHORT,4197,0.9131702621057194,-0.19409354,-0.008797228
2005-06-15 00:00:00+00,SHORT,4128,0.27932717943125407,-0.022978686,0.011043511
2005-06-16 00:00:00+00,SHORT,356,0.3757201425148478,-0.051323436,-0.0051662694
2005-06-16 00:00:00+00,SHORT,3595,0.0,-0.052871007,0.018655434
2005-06-16 00:00:00+00,SHORT,2004,0.5333408473562933,-0.06705738,0.0055325134
2005-06-17 00:00:00+00,SHORT,245,0.4036541124299408,-0.0057853325,-0.0050830883
2005-06-17 00:00:00+00,SHORT,2343,0.4046572580384719,-0.024526663,0.0047085173
2005-06-17 00:00:00+00,SHORT,817,0.0,-0.042923436,0.02228741
2005-06-17 00:00:00+00,SHORT,838,0.0,-0.1815011,0.0016077609
2005-06-17 00:00:00+00,SHORT,3595,0.05601310025179433,-0.036073264,-0.0032775493
2005-06-20 00:00:00+00,SHORT,1297,0.22841790891231653,-0.13213895,0.0064721443
2005-06-20 00:00:00+00,SHORT,3641,0.0,-0.19201651,-0.0059378725
