time,side,ticker_id,mv_up_composite_labels,joint_fall_flag_21_10_df042,dist_lower_bb_50_2.0_df055
2005-04-15 00:00:00+00,LONG,234,0.0,0.0,0.032783907
2005-04-15 00:00:00+00,LONG,2930,0.27438809314010604,0.0,0.024751639
2005-04-15 00:00:00+00,LONG,1383,1.0,0.0,0.03564188
2005-04-15 00:00:00+00,LONG,3607,1.0,0.0,0.024701465
2005-04-18 00:00:00+00,LONG,4112,1.0,0.0,0.04524162
2005-04-18 00:00:00+00,LONG,64,0.0,0.0,0.079070255
2005-04-18 00:00:00+00,LONG,142,0.5412770767386312,0.0,0.02281169
2005-04-18 00:00:00+00,LONG,858,1.0,0.0,0.05788928
2005-04-18 00:00:00+00,LONG,2930,0.21045795414210386,0.0,0.016153065
2005-04-18 00:00:00+00,LONG,3127,1.0,0.0,0.03467039
2005-04-18 00:00:00+00,LONG,3137,1.0,0.0,0.024771411
2005-04-18 00:00:00+00,LONG,1092,0.6218901159882064,0.0,0.03480581
2005-04-18 00:00:00+00,LONG,3335,0.6814001637097814,0.0,0.020896813
2005-04-18 00:00:00+00,LONG,1719,1.0,0.0,0.04677136
2005-04-18 00:00:00+00,LONG,3853,1.0,0.0,0.022183893
2005-04-19 00:00:00+00,LONG,4112,0.9791666666666666,0.0,0.037439723
2005-04-19 00:00:00+00,LONG,64,0.0,0.0,0.01594433
2005-04-19 00:00:00+00,LONG,1719,0.9791666666666666,0.0,0.023760073
2005-04-20 00:00:00+00,LONG,4112,0.9583333333333334,0.0,0.04276503
2005-04-20 00:00:00+00,LONG,64,0.0,0.0,0.022248121
2005-04-20 00:00:00+00,LONG,142,0.6063125167000792,0.0,0.020083647
2005-04-20 00:00:00+00,LONG,465,0.0,0.0,0.016958462
2005-04-20 00:00:00+00,LONG,3355,0.3375811641386448,0.0,0.016327608
2005-04-20 00:00:00+00,LONG,1585,0.8334224316755204,0.0,0.020287618
2005-04-20 00:00:00+00,LONG,1719,0.9583333333333334,0.0,0.03527362
2005-04-20 00:00:00+00,LONG,1840,0.4854310909692417,0.0,0.017581241
2005-04-21 00:00:00+00,LONG,4122,0.4085976830747575,0.0,0.02425727
2005-04-22 00:00:00+00,LONG,4122,0.343690727552444,0.0,0.015744945
2005-04-22 00:00:00+00,LONG,2408,0.40381221097595876,0.0,0.03070921
2005-04-22 00:00:00+00,LONG,2032,1.0,0.0,0.05420107
2005-04-26 00:00:00+00,LONG,386,0.40915314743131065,0.0,0.031732846
2005-04-27 00:00:00+00,LONG,2137,0.15753464519341415,0.0,0.015379989
2005-04-27 00:00:00+00,LONG,220,1.0,0.0,0.017606257
2005-04-27 00:00:00+00,LONG,386,0.33927778835829436,0.0,0.01578425
2005-04-27 00:00:00+00,LONG,3443,1.0,0.0,0.040054888
2005-04-28 00:00:00+00,LONG,4163,0.8862829657709914,0.0,0.021654783
2005-04-28 00:00:00+00,LONG,2137,0.29093892056864734,0.0,0.020438759
2005-04-28 00:00:00+00,LONG,386,0.2600376192545927,0.0,0.016909458
2005-04-28 00:00:00+00,LONG,3271,0.6460202454213304,0.0,0.08632203
2005-04-28 00:00:00+00,LONG,1258,0.14266991478948032,0.0,0.046420343
2005-04-28 00:00:00+00,LONG,1260,0.6857572558584842,0.0,0.014747233
2005-04-28 00:00:00+00,LONG,3378,0.11232778106922961,0.0,0.030122329
2005-04-28 00:00:00+00,LONG,3443,0.9666666666666667,0.0,0.019785207
2005-04-28 00:00:00+00,LONG,1807,1.0,0.0,0.037080888
2005-04-29 00:00:00+00,LONG,2548,1.0,0.0,0.06580633
2005-04-29 00:00:00+00,LONG,3271,0.6121794578258031,0.0,0.059246972
2005-04-29 00:00:00+00,LONG,3378,0.11106037367192677,0.0,0.023961637
2005-04-29 00:00:00+00,LONG,3699,1.0,0.0,0.022432769
2005-04-29 00:00:00+00,LONG,1700,1.0,0.0,0.015805228
2005-05-02 00:00:00+00,LONG,3271,0.5828714840929035,0.0,0.020091338
2005-05-02 00:00:00+00,LONG,3748,1.0,0.0,0.035468306
2005-05-03 00:00:00+00,LONG,323,0.28645018445080644,0.0,0.037566103
2005-05-03 00:00:00+00,LONG,3271,0.6424733506992161,0.0,0.021457985
2005-05-09 00:00:00+00,LONG,2106,0.0,0.0,0.11170448
2005-05-10 00:00:00+00,LONG,2106,0.8205128205128205,0.0,0.08656471
2005-05-11 00:00:00+00,LONG,2106,0.0,0.0,0.024006905
2005-05-12 00:00:00+00,LONG,2518,1.0,0.0,0.061570954
2005-05-13 00:00:00+00,LONG,2253,0.4669599330159069,0.0,0.018172301
2005-05-13 00:00:00+00,LONG,1039,1.0,0.0,0.020906532
2005-05-13 00:00:00+00,LONG,1453,0.0,0.0,0.021654146
2005-05-16 00:00:00+00,LONG,4123,1.0,0.0,0.01740873
2005-05-16 00:00:00+00,LONG,4187,1.0,0.0,0.025216395
2005-05-16 00:00:00+00,LONG,897,1.0,0.0,0.029027127
2005-05-16 00:00:00+00,LONG,3283,1.0,0.0,0.04361034
2005-05-16 00:00:00+00,LONG,1770,1.0,0.0,0.017616633
2005-05-17 00:00:00+00,LONG,335,1.0,0.0,0.021090763
2005-05-17 00:00:00+00,LONG,450,1.0,0.0,0.015733141
2005-05-17 00:00:00+00,LONG,1667,0.04098911621763578,0.0,0.10774298
2005-05-18 00:00:00+00,LONG,1667,0.0,0.0,0.020517591
2005-05-20 00:00:00+00,LONG,88,0.8397540776460467,0.0,0.03211296
2005-05-23 00:00:00+00,LONG,93,0.5998734216312184,0.0,0.02475064
2005-05-26 00:00:00+00,LONG,3612,0.33323784276444146,0.0,0.05385229
2005-05-27 00:00:00+00,LONG,2397,0.4752757040359398,0.0,0.11652973
2005-05-27 00:00:00+00,LONG,2440,0.26070689080229376,0.0,0.11768286
2005-05-31 00:00:00+00,LONG,2397,0.24341361562287317,0.0,0.08259788
2005-05-31 00:00:00+00,LONG,2440,0.21173433696418617,0.0,0.037126314
2005-06-01 00:00:00+00,LONG,64,0.0,0.0,0.12464195
2005-06-01 00:00:00+00,LONG,2397,0.4354642975953105,0.0,0.032957625
2005-06-02 00:00:00+00,LONG,64,0.0,0.0,0.08487376
2005-06-03 00:00:00+00,LONG,64,0.0,0.0,0.056383442
2005-06-03 00:00:00+00,LONG,457,0.2900025597388019,0.0,0.016631521
2005-06-06 00:00:00+00,LONG,64,0.0,0.0,0.014449044
2005-06-14 00:00:00+00,LONG,1011,0.0,0.0,0.1463073
2005-06-15 00:00:00+00,LONG,1011,0.0,0.0,0.10372561
2005-06-16 00:00:00+00,LONG,1011,0.0,0.0,0.057914745
2005-06-21 00:00:00+00,LONG,3293,0.007473859424635956,0.0,0.1250408
2005-06-22 00:00:00+00,LONG,3293,0.009207524033045998,0.0,0.07872225
2005-06-23 00:00:00+00,LONG,3293,0.0,0.0,0.041765038
2005-06-24 00:00:00+00,LONG,465,0.24462304883645797,0.0,0.028240671
2005-06-27 00:00:00+00,LONG,4172,0.4404481180943399,0.0,0.028789576
2005-06-27 00:00:00+00,LONG,465,0.3001099167966306,0.0,0.015415065
2005-06-27 00:00:00+00,LONG,2710,1.0,0.0,0.015772844
2005-06-27 00:00:00+00,LONG,2870,0.0,0.0,0.05836674
2005-06-30 00:00:00+00,LONG,2731,1.0,0.0,0.027832959
2005-07-07 00:00:00+00,LONG,1099,0.0,0.0,0.023300387
