time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_50_2.0_df055,joint_fall_flag_1_10_df042,price_to_sales_rev_growth_zscore_universe_df073
2005-02-15 00:00:00+00,SHORT,687,0.4945377764504389,0.00805039,0.0,-0.0457
2005-02-15 00:00:00+00,SHORT,858,0.875,-0.004614834,0.0,-0.0431
2005-02-15 00:00:00+00,SHORT,1099,0.2343829697516301,-0.003452379,0.0,-0.0457
2005-02-15 00:00:00+00,SHORT,1306,0.5272578017908387,0.0024671028,0.0,-0.0457
2005-02-15 00:00:00+00,SHORT,1360,0.0,0.038482655,0.0,-0.0367
2005-02-15 00:00:00+00,SHORT,1423,0.0,0.007957244,0.0,-0.0415
2005-02-15 00:00:00+00,SHORT,3794,1.0,0.00878659,0.0,-0.0426
2005-02-16 00:00:00+00,SHORT,937,0.6229899694604561,0.009653532,0.0,-0.0431
2005-02-16 00:00:00+00,SHORT,3127,0.6264284570020944,0.027328635,0.0,-0.0446
2005-02-16 00:00:00+00,SHORT,1360,0.0,0.013758903,0.0,-0.0379
2005-02-16 00:00:00+00,SHORT,3469,0.4319206056117726,0.003545865,0.0,-0.0457
2005-02-16 00:00:00+00,SHORT,1423,0.0,0.0010414902,0.0,-0.0427
2005-02-17 00:00:00+00,SHORT,857,0.4096435311821278,0.025900386,0.0,-0.0457
2005-02-17 00:00:00+00,SHORT,3127,0.5274060200400299,-0.0015376622,0.0,-0.0442
2005-02-17 00:00:00+00,SHORT,1360,0.5,0.036299758,0.0,-0.0372
2005-02-17 00:00:00+00,SHORT,2028,0.4075796034150561,-3.152839E-4,0.0,-0.0411
2005-02-18 00:00:00+00,SHORT,643,0.16180553218966576,0.01917277,0.0,-0.0457
2005-02-18 00:00:00+00,SHORT,857,0.3333003837554723,0.014045554,0.0,-0.0457
2005-02-18 00:00:00+00,SHORT,1360,0.0,0.022986908,0.0,-0.0364
2005-02-18 00:00:00+00,SHORT,3791,0.5378446040268953,0.012679904,0.0,-0.0457
2005-02-22 00:00:00+00,SHORT,857,0.0,-0.0037455913,0.0,-0.0458
2005-02-22 00:00:00+00,SHORT,3882,1.0,-0.0011222494,0.0,-0.0417
2005-02-24 00:00:00+00,SHORT,857,0.07884642604055651,-0.002777804,0.0,-0.0458
2005-02-25 00:00:00+00,SHORT,309,1.0,0.02119772,0.0,-0.0458
2005-02-25 00:00:00+00,SHORT,712,0.7250965422838958,0.048899308,0.0,-0.0458
2005-02-25 00:00:00+00,SHORT,857,0.0,0.0064663547,0.0,-0.0458
2005-02-25 00:00:00+00,SHORT,897,0.40289034108288246,0.04340456,0.0,-0.0458
2005-02-25 00:00:00+00,SHORT,1012,0.6575197197697998,0.022728553,0.0,-0.0458
2005-02-28 00:00:00+00,SHORT,2230,0.2955007800519398,0.0067375363,0.0,-0.0458
2005-02-28 00:00:00+00,SHORT,2285,0.5616442607190459,-0.00454179,0.0,-0.0459
2005-02-28 00:00:00+00,SHORT,897,0.39795449596464616,0.018158877,0.0,-0.0458
2005-02-28 00:00:00+00,SHORT,1012,0.5719437910287027,0.016023362,0.0,-0.0458
2005-02-28 00:00:00+00,SHORT,3283,0.24286136957310542,-0.0017610334,0.0,-0.0446
2005-02-28 00:00:00+00,SHORT,3595,0.8,0.03179879,0.0,-0.0462
2005-02-28 00:00:00+00,SHORT,3743,0.40930746880284247,-0.0030809625,0.0,-0.0456
2005-03-01 00:00:00+00,SHORT,2230,0.3521015264646416,0.009867229,0.0,-0.0458
2005-03-01 00:00:00+00,SHORT,2305,1.0,0.0060998173,0.0,-0.0458
2005-03-01 00:00:00+00,SHORT,309,0.8823529411764706,0.0013282911,0.0,-0.0458
2005-03-02 00:00:00+00,SHORT,4172,1.0,0.007601436,0.0,-0.0458
2005-03-04 00:00:00+00,SHORT,4172,0.7142857142857143,0.0057768947,0.0,-0.0457
2005-03-04 00:00:00+00,SHORT,84,1.0,-0.0030715254,0.0,-0.0457
2005-03-04 00:00:00+00,SHORT,2230,0.4132632235410628,0.0098504955,0.0,-0.0457
2005-03-04 00:00:00+00,SHORT,335,0.6292497478549502,0.0044049327,0.0,-0.0461
2005-03-04 00:00:00+00,SHORT,2731,1.0,0.007440394,0.0,-0.0457
2005-03-04 00:00:00+00,SHORT,2815,0.511020806788842,-0.0034001942,0.0,-0.0461
2005-03-04 00:00:00+00,SHORT,870,1.0,0.015182669,0.0,-0.0457
2005-03-04 00:00:00+00,SHORT,3275,0.5046025998307173,0.017464029,0.0,-0.0457
2005-03-04 00:00:00+00,SHORT,3466,0.8840482875978609,0.0056592193,0.0,-0.0457
2005-03-04 00:00:00+00,SHORT,3595,0.0,-0.0032877377,0.0,-0.0462
2005-03-04 00:00:00+00,SHORT,1740,0.5637418617602477,-0.004316797,0.0,-0.0457
2005-03-04 00:00:00+00,SHORT,1770,0.7016542152117223,0.005070656,0.0,-0.0457
2005-03-04 00:00:00+00,SHORT,1949,0.0,0.018654,0.0,-0.0457
2005-03-04 00:00:00+00,SHORT,2041,0.7760307124604644,-0.0045909183,0.0,-0.0457
2005-03-07 00:00:00+00,SHORT,93,0.40562189928597575,0.004077185,0.0,-0.0458
2005-03-07 00:00:00+00,SHORT,2230,0.3721874226873674,-0.0015065514,0.0,-0.0458
2005-03-07 00:00:00+00,SHORT,2993,0.6931414762183061,0.01086105,0.0,-0.0458
2005-03-07 00:00:00+00,SHORT,3275,0.46674457578862205,0.010787139,0.0,-0.0458
2005-03-07 00:00:00+00,SHORT,3357,1.0,0.031293005,0.0,-0.0458
