time,side,ticker_id,mv_up_composite_labels,accel_price_1_df021,dist_lower_bb_50_2.0_df055,ma_cloud_diff_13_50_df007,vola_roc_21_5_df040
2005-10-27 00:00:00+00,LONG,1069,0.9130434782608696,-0.03184982,-0.022640212,-0.04896227,0.62165487
2005-10-27 00:00:00+00,LONG,3127,0.8571428571428572,-0.03268087,0.0106466655,-0.076916136,0.591636
2005-10-27 00:00:00+00,LONG,1330,1.0,-0.0136991525,0.013654323,-0.054620836,0.43707308
2005-10-27 00:00:00+00,LONG,3586,1.0,-0.006893403,-0.009637125,-0.06252056,0.75208545
2005-10-28 00:00:00+00,LONG,3124,0.8123707346742147,-0.005957752,0.0014178556,-0.05231743,0.954568
2005-11-01 00:00:00+00,LONG,2349,0.6560762012363694,-0.041520853,-0.03296295,-0.061525833,0.9149817
2005-11-01 00:00:00+00,LONG,558,0.5196515249135906,-0.008032243,-0.0028006225,-0.07585283,0.46380937
2005-11-01 00:00:00+00,LONG,2778,0.5815953925247694,-0.052713394,-0.02523711,-0.050093587,0.70868254
2005-11-08 00:00:00+00,LONG,1303,0.6428609731062083,0.004343186,-0.019714372,-0.05643737,0.6513503
2005-11-09 00:00:00+00,LONG,1303,0.7079280835326517,0.008175812,-0.020396763,-0.0558968,0.81449246
2005-11-15 00:00:00+00,LONG,853,0.0,0.012351899,-0.01927857,-0.08638176,0.6042604
2005-11-15 00:00:00+00,LONG,1673,0.7741935483870968,0.002036023,-0.03270082,-0.061955772,0.59203124
2006-02-06 00:00:00+00,LONG,3853,0.9,0.009935484,-0.03196546,-0.05770325,0.57605165
2006-02-09 00:00:00+00,LONG,1258,0.2864503757752531,0.0024695445,-0.031110777,-0.05032007,0.93740445
2006-02-14 00:00:00+00,LONG,4049,0.39103858464218383,-0.0023463082,-0.031964332,-0.048618983,0.6437062
2006-02-24 00:00:00+00,LONG,3447,0.8349130915199976,0.008173277,0.0024424628,-0.06115517,0.6689926
2006-03-07 00:00:00+00,LONG,1966,0.0,0.0042042783,-0.023404587,-0.05352472,0.76360464
2006-03-08 00:00:00+00,LONG,2703,0.39884036084540225,0.003654571,-0.016501168,-0.04888811,0.5923771
2006-03-08 00:00:00+00,LONG,1966,0.0,0.019679792,-0.024355764,-0.052423395,0.61017126
2006-03-10 00:00:00+00,LONG,4123,0.6953499797783559,0.01902768,9.556194E-4,-0.076463535,0.34322253
2006-03-10 00:00:00+00,LONG,3573,0.9574468085106383,0.012307692,-0.031483416,-0.07672742,0.46079925
2006-03-10 00:00:00+00,LONG,1826,1.0,0.019890063,-0.026240278,-0.05378939,0.37468985
