time,side,ticker_id,mv_dn_composite_labels,joint_fall_flag_1_20_df042,joint_fall_flag_1_10_df042,dist_upper_bb_50_2.5_df055
2005-02-15 00:00:00+00,SHORT,1360,0.0,0.0,0.0,0.0044406364
2005-02-15 00:00:00+00,SHORT,1423,0.0,0.0,0.0,-0.016205288
2005-02-15 00:00:00+00,SHORT,3794,1.0,0.0,0.0,-0.014634138
2005-02-16 00:00:00+00,SHORT,937,0.6229899694604561,0.0,0.0,-0.0052604647
2005-02-16 00:00:00+00,SHORT,3469,0.4319206056117726,0.0,0.0,-0.0030598643
2005-02-17 00:00:00+00,SHORT,2643,0.9090909090909091,0.0,0.0,-0.004591742
2005-02-17 00:00:00+00,SHORT,3127,0.5274060200400299,0.0,0.0,-0.017869847
2005-02-17 00:00:00+00,SHORT,1360,0.5,0.0,0.0,-4.8052185E-4
2005-02-17 00:00:00+00,SHORT,3469,0.3710696730372272,0.0,0.0,-0.015471496
2005-02-18 00:00:00+00,SHORT,457,0.717622730232663,0.0,0.0,-0.0021256155
2005-02-18 00:00:00+00,SHORT,2643,0.8181818181818181,0.0,0.0,-0.01408529
2005-02-18 00:00:00+00,SHORT,643,0.16180553218966576,0.0,0.0,-0.019488258
2005-02-18 00:00:00+00,SHORT,857,0.3333003837554723,0.0,0.0,-0.0015609608
2005-02-18 00:00:00+00,SHORT,1360,0.0,0.0,0.0,-0.014849121
2005-02-18 00:00:00+00,SHORT,3791,0.5378446040268953,0.0,0.0,0.0030942229
2005-02-22 00:00:00+00,SHORT,457,0.5019757699735915,0.0,0.0,-0.016630756
2005-02-22 00:00:00+00,SHORT,857,0.0,0.0,0.0,-0.019509638
2005-02-22 00:00:00+00,SHORT,3791,0.4318611989276082,0.0,0.0,-0.020145468
2005-02-24 00:00:00+00,SHORT,857,0.07884642604055651,0.0,0.0,-0.019324588
2005-02-25 00:00:00+00,SHORT,4215,0.6666666666666667,0.0,0.0,-0.011830578
2005-02-25 00:00:00+00,SHORT,309,1.0,0.0,0.0,-0.00919381
2005-02-25 00:00:00+00,SHORT,712,0.7250965422838958,0.0,0.0,-1.5773918E-4
2005-02-25 00:00:00+00,SHORT,857,0.0,0.0,0.0,-0.010923812
2005-02-25 00:00:00+00,SHORT,1012,0.6575197197697998,0.0,0.0,-0.002651164
2005-02-28 00:00:00+00,SHORT,2230,0.2955007800519398,0.0,0.0,-0.009353608
2005-02-28 00:00:00+00,SHORT,602,0.4173214120357523,0.0,0.0,-1.0892824E-4
2005-02-28 00:00:00+00,SHORT,897,0.39795449596464616,0.0,0.0,-0.01788292
2005-02-28 00:00:00+00,SHORT,1012,0.5719437910287027,0.0,0.0,-0.010353925
2005-02-28 00:00:00+00,SHORT,3595,0.8,0.0,0.0,0.0021112312
2005-03-01 00:00:00+00,SHORT,2230,0.3521015264646416,0.0,0.0,-0.0070473575
2005-03-01 00:00:00+00,SHORT,424,1.0,0.0,0.0,-0.016242372
2005-03-04 00:00:00+00,SHORT,84,1.0,0.0,0.0,-0.011578803
2005-03-04 00:00:00+00,SHORT,2230,0.4132632235410628,0.0,0.0,-0.008003835
2005-03-04 00:00:00+00,SHORT,3275,0.5046025998307173,0.0,0.0,0.005270375
2005-03-04 00:00:00+00,SHORT,1949,0.0,0.0,0.0,-0.019885236
2005-03-07 00:00:00+00,SHORT,2230,0.3721874226873674,0.0,0.0,-0.019719891
2005-03-07 00:00:00+00,SHORT,1184,0.6651594412380668,0.0,0.0,0.0031031482
2005-03-07 00:00:00+00,SHORT,3275,0.46674457578862205,0.0,0.0,-0.0020634534
2005-03-07 00:00:00+00,SHORT,3357,1.0,0.0,0.0,-0.016543336
2005-03-07 00:00:00+00,SHORT,3855,0.3434763189544432,0.0,0.0,-0.017666848
2005-03-08 00:00:00+00,SHORT,2425,0.2394055593161007,0.0,0.0,-0.01824856
2005-03-08 00:00:00+00,SHORT,898,1.0,0.0,0.0,-0.0067137666
2005-03-08 00:00:00+00,SHORT,1022,0.9568225337664427,0.0,0.0,-0.0106970975
2005-03-08 00:00:00+00,SHORT,1184,0.6176307542600878,0.0,0.0,5.6671444E-4
2005-03-08 00:00:00+00,SHORT,3275,0.46417412179545753,0.0,0.0,-0.013177615
2005-03-08 00:00:00+00,SHORT,1404,0.8571428571428572,0.0,0.0,-0.012880461
2005-03-08 00:00:00+00,SHORT,3539,0.6750055325703885,0.0,0.0,-0.008955715
2005-03-08 00:00:00+00,SHORT,1615,0.9090909090909091,0.0,0.0,-0.011896575
2005-03-08 00:00:00+00,SHORT,1851,0.35727183397401724,0.0,0.0,-0.014566043
2005-03-09 00:00:00+00,SHORT,2116,0.6668150181773671,0.0,0.0,-0.010480451
2005-03-09 00:00:00+00,SHORT,903,0.37524020924203605,0.0,0.0,-0.004929493
2005-03-09 00:00:00+00,SHORT,3124,0.402348758538805,0.0,0.0,-0.0055497778
2005-03-09 00:00:00+00,SHORT,1184,0.40199946888526955,0.0,0.0,-0.019297201
2005-03-09 00:00:00+00,SHORT,3275,0.30281359718142004,0.0,0.0,-0.020190418
2005-03-10 00:00:00+00,SHORT,2175,0.5895526355312637,0.0,0.0,0.004424309
2005-03-10 00:00:00+00,SHORT,2425,0.2085964988855293,0.0,0.0,-0.016333025
2005-03-10 00:00:00+00,SHORT,2430,0.36382622078024474,0.0,0.0,-0.017450651
2005-03-10 00:00:00+00,SHORT,475,0.8980693036003441,0.0,0.0,-0.0193363
2005-03-10 00:00:00+00,SHORT,629,0.6522168064459993,0.0,0.0,0.0026560125
2005-03-10 00:00:00+00,SHORT,903,0.36139761484571936,0.0,0.0,-0.020389985
2005-03-10 00:00:00+00,SHORT,3124,0.4647982894979285,0.0,0.0,-0.011346562
2005-03-11 00:00:00+00,SHORT,2175,0.41562277878933634,0.0,0.0,-0.016087467
