time,side,ticker_id,mv_up_composite_labels,skew_weighted_10_df037,price_drift_abs_21_df006
2005-06-30 00:00:00+00,LONG,1191,0.042553191489361764,-0.7945848,0.1561853
2005-07-01 00:00:00+00,LONG,4172,0.28476904241448137,-0.6782692,0.12738214
2005-07-01 00:00:00+00,LONG,2731,0.9736842105263158,-0.64352363,0.14164202
2005-07-01 00:00:00+00,LONG,1191,0.021276595744680882,-0.9555581,0.15800175
2005-07-05 00:00:00+00,LONG,1191,0.0,-0.686211,0.11269782
2005-07-06 00:00:00+00,LONG,1191,1.0,-0.6587061,0.1314693
2005-07-25 00:00:00+00,LONG,2050,0.0,-0.66197044,0.15304486
2005-07-25 00:00:00+00,LONG,2686,0.648012469920028,-0.6359991,0.115384616
2005-07-28 00:00:00+00,LONG,1939,1.0,-0.6947175,0.1084346
2005-08-02 00:00:00+00,LONG,1939,0.9210526315789473,-0.9145645,0.10569106
2005-08-05 00:00:00+00,LONG,975,0.0,-0.65136606,0.12396694
2005-08-05 00:00:00+00,LONG,1064,0.0,-0.64868236,0.13399397
2005-08-08 00:00:00+00,LONG,3218,0.5073072532259819,-0.6901309,0.12914893
2005-08-09 00:00:00+00,LONG,2351,0.5841737479648563,-0.7264423,0.10580913
2005-08-09 00:00:00+00,LONG,3218,0.8545671828717516,-0.6934744,0.12724167
2005-08-16 00:00:00+00,LONG,2095,0.4925805963678365,-0.6779107,0.14009395
2005-08-16 00:00:00+00,LONG,1191,0.0,-0.8853002,0.15701915
2005-08-17 00:00:00+00,LONG,1176,1.0,-0.72624665,0.119791664
2005-08-17 00:00:00+00,LONG,1191,0.0,-0.8434666,0.14418918
2005-08-18 00:00:00+00,LONG,843,1.0,-0.6983799,0.12477034
2005-08-18 00:00:00+00,LONG,1191,0.0,-0.8394517,0.14510958
2005-08-19 00:00:00+00,LONG,3744,0.792498175927579,-0.6652589,0.1104695
2005-08-23 00:00:00+00,LONG,3586,0.5473077621057609,-0.68915653,0.12179725
2005-08-29 00:00:00+00,LONG,1897,0.6587729148399727,-0.7069319,0.1329042
2005-08-30 00:00:00+00,LONG,1807,1.0,-0.9559348,0.10974106
2005-09-07 00:00:00+00,LONG,2462,0.2978283771978657,-0.7118559,0.11913358
2005-09-08 00:00:00+00,LONG,2462,0.29007694163053566,-0.7016119,0.118746236
2005-09-09 00:00:00+00,LONG,2462,0.2879651683110545,-0.70602846,0.12294837
2005-09-21 00:00:00+00,LONG,1063,0.2945040984041216,-0.7545176,0.13128288
2005-10-07 00:00:00+00,LONG,2527,1.0,-0.73744583,0.114422746
2005-10-07 00:00:00+00,LONG,1444,0.0,-0.71638715,0.16438356
2005-10-10 00:00:00+00,LONG,1444,0.0,-0.80673736,0.13402367
2005-10-11 00:00:00+00,LONG,1444,0.036672719836037794,-0.83052653,0.122599706
2005-10-12 00:00:00+00,LONG,2085,0.0,-0.6364825,0.10875
2005-10-12 00:00:00+00,LONG,2778,0.6965025661319603,-0.74129385,0.115767635
2005-10-12 00:00:00+00,LONG,1444,0.03371607185916011,-0.89858055,0.11931483
2005-10-12 00:00:00+00,LONG,1447,0.23795427248284134,-0.70184535,0.14410058
2005-10-13 00:00:00+00,LONG,1444,0.030667258307163697,-0.91938215,0.123809524
2005-10-13 00:00:00+00,LONG,3614,1.0,-0.7712734,0.11722702
2005-10-17 00:00:00+00,LONG,68,0.9361702127659575,-0.6796086,0.12813738
2005-10-17 00:00:00+00,LONG,2546,0.34362885458801923,-0.65231633,0.1579392
2005-10-18 00:00:00+00,LONG,68,0.9148936170212766,-0.64553964,0.10952252
2005-10-19 00:00:00+00,LONG,2050,1.0,-0.7806098,0.12041885
2005-10-20 00:00:00+00,LONG,2050,0.9795918367346939,-0.7750213,0.11670481
2005-10-26 00:00:00+00,LONG,4070,1.0,-0.660218,0.15998101
2005-10-27 00:00:00+00,LONG,2370,0.6043216042647535,-0.9242326,0.115642115
2005-10-27 00:00:00+00,LONG,3897,0.3221303231114796,-0.8132265,0.12770644
2005-10-27 00:00:00+00,LONG,4070,0.962962962962963,-0.7465337,0.14586826
2005-10-28 00:00:00+00,LONG,3897,0.46959549071098394,-0.7262848,0.16911115
2005-10-31 00:00:00+00,LONG,558,0.5239925019711769,-0.6873068,0.120116375
2005-11-01 00:00:00+00,LONG,558,0.5196515249135906,-0.66829544,0.12192067
2005-11-16 00:00:00+00,LONG,3631,1.0,-0.6730231,0.12637363
2005-11-16 00:00:00+00,LONG,3677,1.0,-0.7897169,0.111794874
2005-11-16 00:00:00+00,LONG,3694,0.4336090761880416,-0.8082037,0.121608905
2005-11-30 00:00:00+00,LONG,28,0.609750221962903,-0.8564944,0.12404323
2005-12-01 00:00:00+00,LONG,28,0.6022810208498633,-0.8258169,0.12038433
2005-12-19 00:00:00+00,LONG,4172,0.023255813953488413,-0.7820144,0.17161125
2005-12-20 00:00:00+00,LONG,4172,0.0,-0.8058699,0.16364577
2005-12-27 00:00:00+00,LONG,424,1.0,-0.9097298,0.16733451
