time,side,ticker_id,mv_dn_composite_labels,skew_weighted_10_df037,vola_roc_1_5_df040,normalized_3m_df004,price_to_sales_minmax_universe_df071
2005-09-30 00:00:00+00,SHORT,2816,0.6082839007581399,0.4126969,-0.02218016,0.41666666,0.0579
2005-09-30 00:00:00+00,SHORT,1092,0.01054966502679476,0.3866645,0.22946376,0.25,0.0579
2005-09-30 00:00:00+00,SHORT,1173,0.8844786015343589,0.45647487,0.47733676,0.45945945,0.0584
2005-09-30 00:00:00+00,SHORT,1740,0.9166666666666666,0.38418975,0.28618282,0.4864865,0.058
2005-09-30 00:00:00+00,SHORT,1869,0.2677447908227429,0.40091214,1.6660478,0.65384614,0.0576
2005-10-26 00:00:00+00,SHORT,1360,0.9411764705882353,0.34378573,2.1024184,0.82758623,0.0069
2005-11-18 00:00:00+00,SHORT,3443,0.0,0.39455172,1.4088489,0.4074074,0.0117
2005-11-28 00:00:00+00,SHORT,1960,0.0,0.4440218,0.33057606,0.21212122,0.0312
2005-12-07 00:00:00+00,SHORT,3443,0.0,0.3722323,0.32053083,0.37037036,0.0115
2005-12-27 00:00:00+00,SHORT,557,0.0,0.36846095,1.0561488,0.9411765,0.0086
2005-12-28 00:00:00+00,SHORT,557,0.0,0.3736524,0.18566738,0.9411765,0.0088
2006-01-17 00:00:00+00,SHORT,88,0.0,0.44352663,0.15728292,0.13636364,0.005
2006-01-31 00:00:00+00,SHORT,394,0.0,0.43695557,0.10079499,0.8181818,0.0059
2006-02-06 00:00:00+00,SHORT,843,0.0,0.44464165,0.035512455,0.6987952,0.0063
2006-02-13 00:00:00+00,SHORT,2661,0.06323463299092237,0.4350482,1.7742847,0.7941176,0.0058
2006-02-16 00:00:00+00,SHORT,394,0.12693542251337064,0.36042878,1.2863945,0.72727275,0.0059
2006-03-06 00:00:00+00,SHORT,2330,0.0,0.36693928,0.5752502,0.6851852,0.0217
2006-03-06 00:00:00+00,SHORT,903,0.0,0.3622022,-0.074481204,0.18604651,0.0188
2006-03-07 00:00:00+00,SHORT,76,0.0,0.35201964,0.2722036,0.2962963,0.0208
2006-03-10 00:00:00+00,SHORT,3612,0.552082451686094,0.39485183,1.0593528,0.3125,0.0204
2006-03-14 00:00:00+00,SHORT,3782,0.7876279355899063,0.38251778,1.1814473,0.12962963,0.0225
2006-03-16 00:00:00+00,SHORT,1099,0.3431262317180798,0.44420826,0.9011644,0.33333334,0.0211
2006-03-17 00:00:00+00,SHORT,200,0.0,0.35665026,1.8301265,0.4698795,0.0206
2006-03-21 00:00:00+00,SHORT,3100,0.6666666666666667,0.44506747,-0.08192371,0.9375,0.0227
2006-03-21 00:00:00+00,SHORT,1853,0.2566447428577668,0.34189007,0.89996284,0.38709676,0.0201
2006-03-23 00:00:00+00,SHORT,4223,0.7142857142857143,0.34420744,0.11055851,0.1590909,0.021
2006-03-24 00:00:00+00,SHORT,2262,1.0,0.3870153,2.0805562,0.38636363,0.0205
2006-03-24 00:00:00+00,SHORT,3116,0.0,0.34417677,0.81094474,0.4473684,0.02
2006-03-24 00:00:00+00,SHORT,1678,0.0,0.4109695,0.9185667,0.46666667,0.0242
2006-03-27 00:00:00+00,SHORT,2330,0.0,0.34421143,1.5784438,0.6481481,0.0227
2006-03-27 00:00:00+00,SHORT,1678,0.0,0.44861156,1.8051069,0.46666667,0.0243
2006-03-29 00:00:00+00,SHORT,1299,0.7470132186974763,0.39858758,0.42051443,0.1875,0.0217
2006-03-29 00:00:00+00,SHORT,1867,0.3584271471052578,0.41925427,1.8304578,0.8636364,0.0194
2006-03-30 00:00:00+00,SHORT,3610,0.0,0.3815275,1.2110485,0.9259259,0.0197
2006-03-30 00:00:00+00,SHORT,1826,0.0,0.36985302,1.1422045,0.4054054,0.0206
2006-04-03 00:00:00+00,SHORT,1826,0.0,0.40577036,0.17602947,0.2972973,0.0214
2006-04-04 00:00:00+00,SHORT,1474,0.37135979080728854,0.40050727,-0.011913331,0.78125,0.019
2006-04-04 00:00:00+00,SHORT,1826,0.0,0.3869769,0.017137753,0.21621622,0.0213
2006-04-05 00:00:00+00,SHORT,135,0.0,0.40967286,-0.1768229,0.92727274,0.0239
2006-04-05 00:00:00+00,SHORT,1051,0.0,0.35849318,1.7989334,0.9518072,0.0193
2006-04-07 00:00:00+00,SHORT,3466,0.0,0.39589444,0.15987605,0.6486486,0.0205
2006-04-18 00:00:00+00,SHORT,3539,0.561578028280057,0.3487934,1.2418988,0.9054054,0.021
2006-04-19 00:00:00+00,SHORT,1280,1.0,0.385688,1.8343072,0.1891892,0.0214
2006-04-20 00:00:00+00,SHORT,2690,0.30530012454279676,0.40618172,0.50965154,0.44444445,0.0203
2006-04-20 00:00:00+00,SHORT,1740,1.0,0.42784157,1.2189541,0.5675676,0.0202
2006-04-21 00:00:00+00,SHORT,1678,1.0,0.37423667,1.515674,0.41379312,0.0251
2006-04-21 00:00:00+00,SHORT,1740,0.8571428571428572,0.3950915,0.77750474,0.6388889,0.0201
2006-04-21 00:00:00+00,SHORT,4034,0.8333333333333334,0.46396214,0.15822679,0.8648649,0.0065
2006-04-24 00:00:00+00,SHORT,897,0.6946598030216985,0.35956448,0.81469065,0.7297297,0.0193
2006-04-26 00:00:00+00,SHORT,394,1.0,0.4616035,0.44387192,0.84,0.0051
2006-04-26 00:00:00+00,SHORT,3641,0.2561946119200502,0.413593,0.37775642,0.25714287,0.0201
2006-05-01 00:00:00+00,SHORT,555,0.5314421839957592,0.35193956,0.73500896,0.41463414,0.0205
2006-05-02 00:00:00+00,SHORT,3905,0.9,0.40682304,-0.1436626,0.4556962,0.02
2006-05-03 00:00:00+00,SHORT,3838,0.5976799489697078,0.41523874,0.0017561278,0.92,0.0204
2006-05-04 00:00:00+00,SHORT,3838,0.5204129491637546,0.46012014,0.7465782,0.8965517,0.0203
2006-05-05 00:00:00+00,SHORT,1039,0.5952496115172632,0.35956037,0.39250794,0.15,0.0201
