time,side,ticker_id,mv_dn_composite_labels,vola_roc_5_5_df040,price_drift_5_df005,joint_fall_flag_21_20_df042,accel_price_5_df021
2006-01-30 00:00:00+00,SHORT,4112,0.6733193938231984,-0.39994895,0.09068468,0.0,0.019355962
2006-01-31 00:00:00+00,SHORT,4112,0.6727770906766102,0.09170712,0.09194834,0.0,0.0012636546
2006-02-01 00:00:00+00,SHORT,433,0.0,-0.24778463,0.09253099,0.0,3.650914E-4
2006-02-01 00:00:00+00,SHORT,3824,0.7692307692307692,-0.122855596,0.08860134,0.0,0.012907942
2006-02-03 00:00:00+00,SHORT,3433,0.17764028244547467,-0.43286076,0.0892989,0.0,-0.02850826
2006-02-23 00:00:00+00,SHORT,3744,0.42529288011051897,-0.26134524,0.08509083,0.0,0.0015701473
2006-02-24 00:00:00+00,SHORT,1610,0.04546479040191688,-0.5214248,0.08775291,0.0,0.009801373
2006-03-15 00:00:00+00,SHORT,1462,0.0,-0.30228436,0.08722581,0.0,-0.0022855941
2006-03-15 00:00:00+00,SHORT,2041,0.0,-0.028690876,0.08997604,0.0,0.03998056
2006-03-16 00:00:00+00,SHORT,2932,0.0,-0.2573004,0.08473356,0.0,0.027263636
2006-03-16 00:00:00+00,SHORT,3918,0.10401906129548555,-0.041409634,0.09012464,0.0,0.025719991
2006-03-20 00:00:00+00,SHORT,4034,1.0,-0.18486007,0.086803675,0.0,-0.003518903
2006-03-22 00:00:00+00,SHORT,85,0.3387064698067788,0.113908924,0.08980301,0.0,-0.00234111
2006-04-06 00:00:00+00,SHORT,796,1.0,-0.18822339,0.08755038,0.0,-0.021290032
2006-04-20 00:00:00+00,SHORT,3199,0.75,-0.3445891,0.08639309,0.0,-0.009152888
2006-04-24 00:00:00+00,SHORT,335,0.0,-0.13059118,0.086455755,0.0,-8.016578E-4
2006-04-24 00:00:00+00,SHORT,4034,0.6666666666666667,-0.301371,0.08175924,0.0,-0.013598708
2006-05-08 00:00:00+00,SHORT,3199,1.0,0.31401148,0.08726249,0.0,0.04249665
2006-05-10 00:00:00+00,SHORT,2550,0.7119257566361218,0.1995248,0.08300994,0.0,0.0052467654
2006-05-10 00:00:00+00,SHORT,838,0.9411764705882353,-0.35116246,0.08174245,0.0,0.021563634
2006-05-12 00:00:00+00,SHORT,69,0.9090909090909091,-0.5596199,0.083538085,0.0,-0.047711916
2006-05-30 00:00:00+00,SHORT,1700,0.0,-0.10629565,0.08363594,0.0,0.03129928
2006-05-30 00:00:00+00,SHORT,3815,0.0,-0.42694727,0.08071617,0.0,0.003553934
2006-06-01 00:00:00+00,SHORT,158,0.5714285714285714,-0.60131216,0.09066379,0.0,0.03303305
2006-06-02 00:00:00+00,SHORT,2504,0.614488103642243,0.24791531,0.08503589,0.0,-0.003685071
2006-06-20 00:00:00+00,SHORT,1303,0.0,-0.32822418,0.0804519,0.0,0.03617397
2006-06-20 00:00:00+00,SHORT,1897,0.0,0.06282621,0.09066667,0.0,0.046516556
2006-06-21 00:00:00+00,SHORT,844,1.0,0.10477179,0.08340499,0.0,0.0029063227
2006-06-21 00:00:00+00,SHORT,1710,0.07416175234761668,-0.53586227,0.08180506,0.0,0.03864527
2006-06-23 00:00:00+00,SHORT,3684,0.0,0.3062729,0.08230277,0.0,-0.0148019055
2006-07-03 00:00:00+00,SHORT,3815,0.7152163786986218,0.257006,0.08707194,0.0,-0.037650283
2006-07-06 00:00:00+00,SHORT,796,0.0,-0.2650749,0.0825,0.0,-0.004668938
2006-07-06 00:00:00+00,SHORT,1195,0.0,0.28526062,0.09223226,0.0,-0.04092188
2006-07-06 00:00:00+00,SHORT,1532,0.7809622299576443,-0.3389437,0.08407438,0.0,-0.007089372
2006-07-06 00:00:00+00,SHORT,3918,0.8888888888888888,0.16143309,0.08239437,0.0,-0.021543201
