time,side,ticker_id,mv_dn_composite_labels,dist_low52_vol_norm_20_df015,dist_upper_bb_20_2.0_df055,volume_spike_1_df057,vola_roc_21_5_df040
2005-02-11 00:00:00+00,SHORT,68,0.7406783065734668,0.16681834,-0.009337003,0.23836668,-0.36858976
2005-02-11 00:00:00+00,SHORT,2410,0.21190419921759276,0.20264822,-0.014994707,0.20970663,0.24098288
2005-02-11 00:00:00+00,SHORT,1761,0.7680473719945151,0.42989424,-0.0045268014,0.4408813,-0.2724369
2005-02-11 00:00:00+00,SHORT,4070,0.6653692725370178,0.31721017,-0.025746148,-0.04328508,0.07699964
2005-02-15 00:00:00+00,SHORT,2479,0.0,0.5899311,-0.022018882,-0.1599723,-0.023602147
2005-02-15 00:00:00+00,SHORT,2536,0.31855045225517803,0.12816866,-0.021383034,0.27269587,0.2556517
2005-02-15 00:00:00+00,SHORT,2728,0.3663346726274674,0.26740652,-0.020814495,-0.16646568,-0.23443419
2005-02-15 00:00:00+00,SHORT,687,0.4945377764504389,0.2828069,-0.020385502,0.26952708,-0.3383349
2005-02-15 00:00:00+00,SHORT,2761,0.40001070952154094,0.43987954,-0.01757877,0.256565,-0.026193893
2005-02-15 00:00:00+00,SHORT,3148,0.7552905330720439,0.39199746,0.0037796267,0.13296044,0.6474502
2005-02-15 00:00:00+00,SHORT,1761,0.7777777777777778,0.390388,-0.011083852,0.59206027,-0.27584213
2005-02-15 00:00:00+00,SHORT,1832,0.04395907776978563,0.45617527,-0.021729754,-0.13907939,-0.1416543
2005-02-16 00:00:00+00,SHORT,270,0.7579321538535742,0.27812624,-0.0031412297,0.0049652434,-0.049415696
2005-02-16 00:00:00+00,SHORT,2397,0.5318364476621247,0.27102008,-0.02424807,0.22368062,1.1027927
2005-02-16 00:00:00+00,SHORT,401,0.4294753102813345,0.5558218,-0.00908613,0.33577088,0.22048393
2005-02-16 00:00:00+00,SHORT,2643,1.0,0.35225973,0.002675032,-0.17733541,1.1830782
2005-02-16 00:00:00+00,SHORT,2761,0.3766047393786888,0.43624714,-0.02002497,0.006909918,-0.056171816
2005-02-16 00:00:00+00,SHORT,3244,0.0,0.48627236,-0.006947375,-0.237986,1.6341335
2005-02-16 00:00:00+00,SHORT,4013,0.45019030989278813,0.4413561,-0.015653394,0.65125,-0.007815493
2005-02-17 00:00:00+00,SHORT,270,0.6703995847853201,0.25630793,-0.019765647,-0.2173913,0.20553006
2005-02-17 00:00:00+00,SHORT,2352,0.359476250649854,0.33804175,-0.0016748193,0.055682935,0.8620747
2005-02-17 00:00:00+00,SHORT,370,0.48560892367643554,0.3446681,-0.0074206707,0.24901381,0.10350345
2005-02-17 00:00:00+00,SHORT,401,0.3299626771058801,0.5309983,-0.016478578,-0.24224453,-0.20135438
2005-02-17 00:00:00+00,SHORT,2643,0.9090909090909091,0.33092698,-0.010540743,-0.2058308,0.6922619
