time,side,ticker_id,mv_dn_composite_labels,co_fall_count_1_5_df044,normalized_12m_df003,dist_upper_bb_50_2.0_df055,normalized_6m_df004
2006-02-09 00:00:00+00,SHORT,602,0.27805571470405227,1.0,0.5941043,-0.015700521,0.6075949
2006-02-15 00:00:00+00,SHORT,475,0.0,1.0,0.7027027,-0.015551709,0.30952382
2006-02-16 00:00:00+00,SHORT,131,0.0,1.0,0.1901566,-0.018378176,0.27160493
2006-02-17 00:00:00+00,SHORT,2064,0.9333333333333333,1.0,0.15,-0.0013683921,0.32352942
2006-02-22 00:00:00+00,SHORT,4176,0.0,1.0,0.8730512,-0.012221355,0.47826087
2006-02-22 00:00:00+00,SHORT,2248,0.4889008943378846,1.0,0.14476615,-0.0014987368,0.6136364
2006-02-23 00:00:00+00,SHORT,4107,0.0,1.0,0.74603176,0.0049905023,0.36956522
2006-02-24 00:00:00+00,SHORT,4107,0.0,1.0,0.7278761,0.0010256893,0.3888889
2006-02-27 00:00:00+00,SHORT,4107,0.0,1.0,0.7184035,-7.480412E-4,0.41509435
2006-02-27 00:00:00+00,SHORT,2270,0.2745442233591358,1.0,0.59645236,0.01285254,0.48809522
2006-02-27 00:00:00+00,SHORT,1816,0.22491807880686435,1.0,0.2195122,-0.020955343,0.5471698
2006-02-27 00:00:00+00,SHORT,4062,0.34823454868858345,1.0,0.50840336,-0.018481072,0.38235295
2006-03-03 00:00:00+00,SHORT,192,0.18194124049927973,1.0,0.49586776,-0.0068872552,0.27272728
2006-03-03 00:00:00+00,SHORT,475,0.7197332294255029,1.0,0.72747254,-4.796639E-4,0.39759037
2006-03-03 00:00:00+00,SHORT,988,0.09870568277853567,1.0,0.26373628,0.0068987305,0.5740741
2006-03-06 00:00:00+00,SHORT,694,0.0,1.0,0.8697572,-0.010850634,0.25
2006-03-06 00:00:00+00,SHORT,3142,0.5571954629721776,1.0,0.5289256,0.02599711,0.5
2006-03-16 00:00:00+00,SHORT,429,0.5758175502933435,1.0,0.580574,0.029847123,0.5185185
2006-03-16 00:00:00+00,SHORT,505,0.8012911453420709,1.0,0.2737307,-0.009438094,0.55813956
2006-03-16 00:00:00+00,SHORT,3100,0.6321344283620225,1.0,0.8300221,-1.444655E-4,0.4375
2006-03-16 00:00:00+00,SHORT,1848,0.0,1.0,0.4691358,-0.0208823,0.4117647
2006-03-17 00:00:00+00,SHORT,429,0.6119370061035796,1.0,0.35164836,0.028728578,0.5185185
2006-03-17 00:00:00+00,SHORT,505,0.6798930443009629,1.0,0.2813187,-0.010208021,0.52272725
2006-03-20 00:00:00+00,SHORT,429,0.5753946185960378,1.0,0.3010989,0.010824366,0.5283019
2006-03-20 00:00:00+00,SHORT,505,0.5713487120646301,1.0,0.24835165,-0.011717344,0.54545456
2006-03-21 00:00:00+00,SHORT,429,0.45525823383730485,1.0,0.30242825,0.0024273868,0.537037
2006-03-22 00:00:00+00,SHORT,675,0.30221429320570725,1.0,0.704918,-0.011153945,0.61764705
2006-03-23 00:00:00+00,SHORT,1303,0.6542338901943808,1.0,0.6651885,0.032053195,0.44444445
2006-03-24 00:00:00+00,SHORT,1303,0.6553201401997784,1.0,0.6447368,0.029344773,0.46296296
2006-03-28 00:00:00+00,SHORT,3127,0.0,1.0,0.6557377,-0.0140947895,0.3125
2006-03-29 00:00:00+00,SHORT,2761,0.0,1.0,0.84429824,-0.007836296,0.59375
2006-03-30 00:00:00+00,SHORT,2272,0.0,1.0,0.14876033,-0.018467152,0.3846154
2006-03-31 00:00:00+00,SHORT,914,0.29726932595861705,1.0,0.39748955,-0.017356753,0.21875
2006-03-31 00:00:00+00,SHORT,1514,1.0,1.0,0.23849373,-8.559774E-4,0.42105263
2006-04-03 00:00:00+00,SHORT,2999,0.5308767842957562,1.0,0.33064517,-0.010461889,0.2647059
2006-04-03 00:00:00+00,SHORT,1144,0.36238341656738843,1.0,0.7298387,-0.016346982,0.3529412
2006-04-04 00:00:00+00,SHORT,914,0.2939732439426367,1.0,0.42510122,-0.020164827,0.2413793
2006-04-04 00:00:00+00,SHORT,2999,0.5686853094766361,1.0,0.32793522,-0.010893054,0.29411766
2006-04-05 00:00:00+00,SHORT,2999,0.5196712252071887,1.0,0.3647541,-0.009583333,0.3030303
2006-04-10 00:00:00+00,SHORT,1816,0.33884305557127165,1.0,0.25277162,-0.018906128,0.61538464
2006-04-11 00:00:00+00,SHORT,1816,0.2525521737959071,1.0,0.26385808,-0.016142776,0.61538464
