time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,ma_cloud_diff_13_100_df007,joint_fall_flag_21_20_df042,price_drift_21_df005
2005-03-28 00:00:00+00,SHORT,4218,1.0,-0.0013289801,0.0875995,0.0,0.104215875
2005-03-28 00:00:00+00,SHORT,1471,0.41979277603375054,-0.017227774,0.07953902,0.0,0.101280436
2005-03-29 00:00:00+00,SHORT,4218,0.7305482191598276,-0.013661576,0.08942312,0.0,0.07711247
2005-03-30 00:00:00+00,SHORT,4218,0.9047619047619048,-0.01160858,0.09216113,0.0,0.08651158
2005-04-01 00:00:00+00,SHORT,730,0.4511181226669267,-0.012453307,0.05873532,0.0,0.071428575
2005-04-01 00:00:00+00,SHORT,3613,0.7390763237054241,-0.009464974,0.11571898,0.0,0.08157415
2005-04-07 00:00:00+00,SHORT,2261,0.0,-0.010945626,0.07406775,0.0,0.07521896
2005-04-07 00:00:00+00,SHORT,3903,0.19636894421979645,-0.01572533,0.07665409,0.0,0.09662424
2005-04-08 00:00:00+00,SHORT,2261,0.0,-0.019630771,0.07562653,0.0,0.09641728
2005-04-08 00:00:00+00,SHORT,937,0.3305777927761593,-0.018335868,0.019440837,0.0,0.07983286
2005-04-12 00:00:00+00,SHORT,1171,0.30771282186318694,-0.003121222,0.05570932,0.0,0.071428575
2005-04-12 00:00:00+00,SHORT,3612,1.0,0.0050639417,0.07639078,0.0,0.14962594
2005-04-15 00:00:00+00,SHORT,2527,0.6744540660605712,-0.015022749,0.08117921,0.0,0.0977918
2005-04-25 00:00:00+00,SHORT,523,0.26504391757400475,-0.015283462,0.016218865,0.0,0.08420807
2005-04-26 00:00:00+00,SHORT,2116,0.3308319827270729,-0.009337649,0.027559675,0.0,0.093865484
2005-04-29 00:00:00+00,SHORT,2116,0.1724030228044281,-0.015340322,0.033831228,0.0,0.10119048
2005-05-02 00:00:00+00,SHORT,2116,0.17696866180675738,-0.0154999755,0.0367694,0.0,0.10995542
2005-05-02 00:00:00+00,SHORT,2961,0.211696337351469,-0.0021785533,0.05375841,0.0,0.07073305
2005-05-02 00:00:00+00,SHORT,1361,0.3712758493109771,-0.006140465,0.056051288,0.0,0.080176644
2005-05-04 00:00:00+00,SHORT,405,0.8847062333874375,-0.019430114,0.10666088,0.0,0.110125646
2005-05-04 00:00:00+00,SHORT,2961,0.22333624918725187,-0.016680868,0.057959527,0.0,0.07261334
2005-05-04 00:00:00+00,SHORT,3513,0.5124445080982103,3.192602E-5,6.721313E-4,0.0,0.08802815
2005-05-09 00:00:00+00,SHORT,433,0.28300707077322074,-0.009427783,0.12796015,0.0,0.15699185
2005-05-09 00:00:00+00,SHORT,3994,0.3221684459665731,-0.01450533,-6.06943E-4,0.0,0.06820567
2005-05-27 00:00:00+00,SHORT,1817,0.0,-0.017946137,0.09227959,0.0,0.072644725
2005-06-02 00:00:00+00,SHORT,19,1.0,-0.0042795963,0.06356015,0.0,0.14461814
2005-06-03 00:00:00+00,SHORT,19,0.9,-0.01907025,0.06979666,0.0,0.10651195
2005-06-09 00:00:00+00,SHORT,3824,0.5436582326675299,-0.019680517,0.07438177,0.0,0.106692046
2005-06-14 00:00:00+00,SHORT,3645,0.6292241096707004,-0.007834798,0.054806817,0.0,0.06480699
2005-06-16 00:00:00+00,SHORT,631,0.0,-0.014768799,0.050098825,0.0,0.1007836
2005-06-16 00:00:00+00,SHORT,3515,0.3712509770961423,-0.0058594844,0.03633318,0.0,0.086077414
2005-06-17 00:00:00+00,SHORT,234,1.0,-0.016476259,0.0027550003,0.0,0.07007126
2005-06-17 00:00:00+00,SHORT,988,0.4045858058783273,-1.5306695E-4,0.07741009,0.0,0.117123134
2005-06-17 00:00:00+00,SHORT,3882,0.7932087374802296,-0.006491663,0.038778737,0.0,0.09632224
2005-06-17 00:00:00+00,SHORT,2028,0.0,-0.008185534,0.06171574,0.0,0.11925383
2005-06-20 00:00:00+00,SHORT,1719,0.0,0.003269365,0.050044183,0.0,0.08817204
2005-06-20 00:00:00+00,SHORT,3882,0.6435406730365354,-0.009931215,0.044841185,0.0,0.11299766
2005-06-20 00:00:00+00,SHORT,2028,0.0,-0.013606312,0.0620425,0.0,0.06582912
2005-06-21 00:00:00+00,SHORT,684,0.0645644290147913,-0.009377437,0.053040158,0.0,0.091530494
2005-06-21 00:00:00+00,SHORT,4062,0.0,-0.008704011,0.05971126,0.0,0.096837945
2005-06-23 00:00:00+00,SHORT,2176,0.6969690877519389,-0.010892263,0.008881651,0.0,0.05919153
2005-06-24 00:00:00+00,SHORT,2176,0.6288375113184342,-0.019780323,0.011057666,0.0,0.06813726
2005-06-29 00:00:00+00,SHORT,2055,0.0,-0.008448569,0.027341882,0.0,0.061620504
2005-06-30 00:00:00+00,SHORT,1966,0.7145465683532836,-0.014055936,0.07019605,0.0,0.089422494
2005-07-01 00:00:00+00,SHORT,588,0.2001987308068306,-0.013301985,0.10638216,0.0,0.10817639
2005-07-08 00:00:00+00,SHORT,2175,0.4041525816177399,-0.009907624,0.09859081,0.0,0.099716716
2005-07-11 00:00:00+00,SHORT,1762,0.0,-0.016458945,0.066391915,0.0,0.11857175
2005-07-12 00:00:00+00,SHORT,2028,0.0,-0.011247511,0.04106034,0.0,0.10940604
2005-07-13 00:00:00+00,SHORT,1244,1.0,-0.013066525,0.07207398,0.0,0.11047841
2005-07-13 00:00:00+00,SHORT,3352,1.0,-0.0071619535,0.07724645,0.0,0.079731956
2005-07-13 00:00:00+00,SHORT,3573,0.0,0.002636838,0.10521907,0.0,0.1264706
2005-07-14 00:00:00+00,SHORT,588,0.06773144033661786,-0.013747242,0.13357553,0.0,0.1373272
2005-07-14 00:00:00+00,SHORT,3352,0.8888888888888888,-0.015471043,0.081314094,0.0,0.07924349
2005-07-15 00:00:00+00,SHORT,93,0.3393999509167372,-0.016497081,0.0146292485,0.0,0.08106355
2005-07-20 00:00:00+00,SHORT,2305,1.0,-0.0014676817,0.047354095,0.0,0.07781457
2005-07-20 00:00:00+00,SHORT,2815,0.5196730070315535,-0.016637325,0.037080716,0.0,0.07207562
2005-07-20 00:00:00+00,SHORT,937,0.45469897138321,-0.011331635,0.053637907,0.0,0.09698231
2005-07-20 00:00:00+00,SHORT,1761,0.6182015794127816,-0.006249675,0.057415117,0.0,0.10012516
2005-07-21 00:00:00+00,SHORT,1454,0.6755778798696086,-0.018005893,0.0905207,0.0,0.061896928
2005-07-21 00:00:00+00,SHORT,3794,1.0,-0.019152615,0.099524856,0.0,0.109478794
2005-07-25 00:00:00+00,SHORT,3748,0.9230769230769231,-0.014038724,0.099333815,0.0,0.15308642
2005-07-27 00:00:00+00,SHORT,2196,0.7428505431346715,-0.012500457,0.07333427,0.0,0.07039187
2005-07-27 00:00:00+00,SHORT,786,0.2821124318588489,0.0027340106,0.09133973,0.0,0.0890411
2005-07-27 00:00:00+00,SHORT,1668,0.28510527215457704,-0.01851574,0.11155073,0.0,0.120441616
2005-07-28 00:00:00+00,SHORT,370,0.33965648833475115,-0.018157523,0.13633932,0.0,0.11569249
2005-07-28 00:00:00+00,SHORT,786,0.30023162707351003,-4.6037926E-4,0.09420794,0.0,0.08317449
2005-07-28 00:00:00+00,SHORT,3273,1.0,-0.008653554,0.07038704,0.0,0.11771182
2005-07-29 00:00:00+00,SHORT,69,1.0,-5.3532276E-4,0.019870523,0.0,0.09760766
2005-07-29 00:00:00+00,SHORT,2351,1.0,-0.016630076,0.14506747,0.0,0.07023783
2005-07-29 00:00:00+00,SHORT,786,0.2694643678978534,-0.008001529,0.09681354,0.0,0.06920711
2005-07-29 00:00:00+00,SHORT,1514,1.0,-0.015651494,0.1314788,0.0,0.102092475
2005-07-29 00:00:00+00,SHORT,1817,0.0,-0.014664892,0.103528835,0.0,0.13946514
2005-07-29 00:00:00+00,SHORT,4013,0.41824211911162834,-0.013001794,0.10308725,0.0,0.10703189
