time,side,ticker_id,mv_up_composite_labels,sessions_since_bearish_13_50_df059,skew_weighted_10_df037
2005-03-29 00:00:00+00,LONG,4176,1.0,24.0,-0.7437317
2005-03-29 00:00:00+00,LONG,91,0.9166666666666666,23.0,-0.49959004
2005-03-31 00:00:00+00,LONG,505,1.0,22.0,-0.34570506
2005-04-01 00:00:00+00,LONG,505,0.9777777777777777,23.0,-0.4918431
2005-04-04 00:00:00+00,LONG,505,0.9555555555555556,24.0,-0.5241396
2005-04-05 00:00:00+00,LONG,505,0.9333333333333333,25.0,-0.48806766
2005-04-06 00:00:00+00,LONG,505,0.9111111111111111,26.0,-0.34038305
2005-04-13 00:00:00+00,LONG,3641,0.6896551724137931,24.0,-0.349813
2005-04-18 00:00:00+00,LONG,858,1.0,20.0,-0.7758327
2005-04-18 00:00:00+00,LONG,3744,0.0,28.0,-0.46729502
2005-04-18 00:00:00+00,LONG,1719,1.0,40.0,-0.62978715
2005-04-18 00:00:00+00,LONG,3791,1.0,26.0,-0.55456316
2005-04-19 00:00:00+00,LONG,858,0.9830508474576272,21.0,-0.49039972
2005-04-19 00:00:00+00,LONG,1719,0.9791666666666666,41.0,-0.5453106
2005-04-19 00:00:00+00,LONG,3791,0.9642857142857143,27.0,-0.5773082
2005-04-20 00:00:00+00,LONG,858,0.9661016949152542,22.0,-0.47348705
2005-04-20 00:00:00+00,LONG,1447,0.14146992010011292,38.0,-0.4737843
2005-04-20 00:00:00+00,LONG,3791,0.0,28.0,-0.560276
2005-04-21 00:00:00+00,LONG,4122,0.4085976830747575,20.0,-0.76583666
2005-04-21 00:00:00+00,LONG,221,0.49856148886557916,20.0,-0.32680765
2005-04-21 00:00:00+00,LONG,3791,0.0,29.0,-0.34133458
2005-04-22 00:00:00+00,LONG,4122,0.343690727552444,21.0,-0.6915727
2005-04-22 00:00:00+00,LONG,221,0.5139699616765525,21.0,-0.3825147
2005-04-22 00:00:00+00,LONG,395,0.5275162780329359,25.0,-0.37586427
2005-04-22 00:00:00+00,LONG,2567,0.5192987375143616,31.0,-0.47065568
2005-04-22 00:00:00+00,LONG,3273,1.0,29.0,-0.39290252
2005-04-22 00:00:00+00,LONG,3773,1.0,21.0,-0.3545615
2005-04-22 00:00:00+00,LONG,3824,0.1753715737263738,21.0,-0.5029442
2005-04-25 00:00:00+00,LONG,4122,0.36062645334729243,22.0,-0.7065194
2005-04-25 00:00:00+00,LONG,2567,0.5732591183786867,32.0,-0.3413161
2005-04-25 00:00:00+00,LONG,3824,0.17018162684316662,22.0,-0.4024855
2005-04-26 00:00:00+00,LONG,4122,0.42151343058115687,23.0,-0.79574114
2005-04-26 00:00:00+00,LONG,2452,0.41052229718304145,24.0,-0.37389436
2005-04-26 00:00:00+00,LONG,2567,0.5662482816210757,33.0,-0.34202072
2005-04-26 00:00:00+00,LONG,2659,0.2476246252363266,25.0,-0.3434269
2005-04-26 00:00:00+00,LONG,786,0.8421052631578947,20.0,-0.3625338
2005-04-26 00:00:00+00,LONG,2930,0.1864093359033414,23.0,-0.38934007
2005-04-26 00:00:00+00,LONG,975,0.4526146094440083,29.0,-0.5657755
2005-04-27 00:00:00+00,LONG,4122,0.0,24.0,-0.34359592
2005-04-27 00:00:00+00,LONG,2137,0.15753464519341415,26.0,-0.60967386
2005-04-27 00:00:00+00,LONG,2452,0.36559039930395526,25.0,-0.35336304
2005-04-27 00:00:00+00,LONG,424,0.3486324880286279,21.0,-0.3859589
2005-04-27 00:00:00+00,LONG,708,0.60392913480389,35.0,-0.6067483
2005-04-27 00:00:00+00,LONG,759,1.0,41.0,-0.3224684
2005-04-27 00:00:00+00,LONG,975,0.9666666666666667,30.0,-0.33555895
2005-04-27 00:00:00+00,LONG,4005,1.0,21.0,-0.55114406
2005-04-28 00:00:00+00,LONG,4163,0.8862829657709914,30.0,-0.7311973
2005-04-28 00:00:00+00,LONG,2137,0.29093892056864734,27.0,-0.62318385
2005-04-28 00:00:00+00,LONG,345,1.0,25.0,-0.4188615
2005-04-28 00:00:00+00,LONG,424,0.33333333333333337,22.0,-0.38174012
2005-04-28 00:00:00+00,LONG,975,0.4159788365175527,31.0,-0.33701953
2005-04-28 00:00:00+00,LONG,3271,0.6460202454213304,21.0,-0.40061963
2005-04-28 00:00:00+00,LONG,4005,0.9743589743589743,22.0,-0.39710945
2005-04-29 00:00:00+00,LONG,4163,0.7617937778276564,31.0,-0.52332807
2005-04-29 00:00:00+00,LONG,2137,0.12402880988248238,28.0,-0.33555752
2005-04-29 00:00:00+00,LONG,191,1.0,29.0,-0.53437334
2005-04-29 00:00:00+00,LONG,2248,1.0,20.0,-0.3531549
2005-04-29 00:00:00+00,LONG,2548,1.0,28.0,-0.4178616
2005-04-29 00:00:00+00,LONG,1462,0.3936198981406554,26.0,-0.40644875
2005-04-29 00:00:00+00,LONG,3699,1.0,25.0,-0.42609552
2005-04-29 00:00:00+00,LONG,1807,0.962962962962963,20.0,-0.42673653
2005-05-02 00:00:00+00,LONG,2133,0.9761904761904762,28.0,-0.3534941
2005-05-02 00:00:00+00,LONG,191,0.9279035081856206,30.0,-0.43257657
2005-05-02 00:00:00+00,LONG,3699,0.96875,26.0,-0.6573197
2005-05-02 00:00:00+00,LONG,1807,0.45655460408140136,21.0,-0.50261104
2005-05-03 00:00:00+00,LONG,2070,0.0,24.0,-0.45568871
2005-05-03 00:00:00+00,LONG,2133,0.9523809523809523,29.0,-0.39137536
2005-05-03 00:00:00+00,LONG,191,0.9375,31.0,-0.40562135
2005-05-03 00:00:00+00,LONG,2248,0.9259259259259259,22.0,-0.39023554
2005-05-03 00:00:00+00,LONG,323,0.28645018445080644,24.0,-0.7634487
2005-05-03 00:00:00+00,LONG,345,0.8054524202730443,28.0,-0.34308967
2005-05-03 00:00:00+00,LONG,3271,0.6424733506992161,24.0,-0.39123455
2005-05-03 00:00:00+00,LONG,1462,0.6195267068219078,28.0,-0.36452195
2005-05-03 00:00:00+00,LONG,3699,0.9375,27.0,-0.7995206
2005-05-03 00:00:00+00,LONG,1807,0.6538751313046827,22.0,-0.75992405
2005-05-04 00:00:00+00,LONG,2070,0.0,25.0,-0.32329342
2005-05-04 00:00:00+00,LONG,323,0.2463956591570505,25.0,-0.3999143
2005-05-04 00:00:00+00,LONG,3699,0.90625,28.0,-0.38988334
2005-05-04 00:00:00+00,LONG,1807,0.514694895913946,23.0,-0.6342482
2005-05-05 00:00:00+00,LONG,2070,0.0,26.0,-0.47962722
2005-05-05 00:00:00+00,LONG,2133,0.9047619047619048,31.0,-0.5995839
2005-05-05 00:00:00+00,LONG,2137,0.08032117047841855,32.0,-0.45840594
2005-05-05 00:00:00+00,LONG,3271,0.6159330177717847,26.0,-0.3997229
2005-05-05 00:00:00+00,LONG,3699,0.875,29.0,-0.3953883
2005-05-05 00:00:00+00,LONG,1807,0.5043732440343932,24.0,-0.6394567
2005-05-05 00:00:00+00,LONG,1819,0.5533480375638453,23.0,-0.38305393
2005-05-06 00:00:00+00,LONG,2070,0.0,27.0,-0.5848492
2005-05-06 00:00:00+00,LONG,2133,0.7312930040861085,32.0,-0.39431134
2005-05-06 00:00:00+00,LONG,2137,0.08581014213921774,33.0,-0.48141137
2005-05-06 00:00:00+00,LONG,1807,0.6409837953765807,25.0,-0.55172426
2005-05-09 00:00:00+00,LONG,2070,0.0,28.0,-0.49411923
2005-05-09 00:00:00+00,LONG,2133,0.72114979151711,33.0,-0.48710063
2005-05-09 00:00:00+00,LONG,2816,0.8928571428571429,32.0,-0.32839063
2005-05-09 00:00:00+00,LONG,3271,0.0,28.0,-0.34998462
2005-05-10 00:00:00+00,LONG,2070,0.0,29.0,-0.43836764
2005-05-10 00:00:00+00,LONG,2248,0.7407407407407407,27.0,-0.3376941
2005-05-10 00:00:00+00,LONG,3148,1.0,31.0,-0.49546123
2005-05-11 00:00:00+00,LONG,2070,0.0,30.0,-0.48762158
2005-05-11 00:00:00+00,LONG,69,0.8863636363636364,25.0,-0.35134107
2005-05-12 00:00:00+00,LONG,2070,0.22472924521704488,31.0,-0.48884848
2005-05-12 00:00:00+00,LONG,2018,0.5294117647058824,24.0,-0.6076704
2005-05-13 00:00:00+00,LONG,2070,0.0,32.0,-0.4762908
2005-05-13 00:00:00+00,LONG,2176,0.3999141459387392,33.0,-0.33106226
2005-05-13 00:00:00+00,LONG,817,1.0,23.0,-0.32719246
2005-05-13 00:00:00+00,LONG,3275,1.0,20.0,-0.56440973
2005-05-13 00:00:00+00,LONG,1297,0.6474551902287213,39.0,-0.3250124
2005-05-13 00:00:00+00,LONG,3561,1.0,20.0,-0.7261613
2005-05-13 00:00:00+00,LONG,1762,0.6427385867615475,33.0,-0.345028
2005-05-13 00:00:00+00,LONG,3973,0.29687370167176497,25.0,-0.34850928
2005-05-13 00:00:00+00,LONG,2018,0.5,25.0,-0.64524776
2005-05-16 00:00:00+00,LONG,2070,0.0,33.0,-0.41537932
2005-05-16 00:00:00+00,LONG,4123,1.0,21.0,-0.3875566
2005-05-16 00:00:00+00,LONG,4187,1.0,20.0,-0.55485696
2005-05-16 00:00:00+00,LONG,2619,1.0,30.0,-0.50628626
2005-05-16 00:00:00+00,LONG,576,0.894186302049144,28.0,-0.4981223
2005-05-16 00:00:00+00,LONG,602,0.9393939393939394,34.0,-0.4127821
2005-05-16 00:00:00+00,LONG,694,0.6721311475409836,39.0,-0.35809347
2005-05-16 00:00:00+00,LONG,817,0.962962962962963,24.0,-0.33032772
2005-05-16 00:00:00+00,LONG,838,1.0,20.0,-0.526362
2005-05-16 00:00:00+00,LONG,3420,0.7668678485868183,30.0,-0.40290204
