time,side,ticker_id,mv_up_composite_labels,joint_fall_flag_5_20_df042,skew_weighted_10_df037,velocity_price_univ_zscore_5_df048,weighted_neg_sum_10_df036,price_drift_21_df005
2005-04-01 00:00:00+00,LONG,3641,0.9655172413793104,0.0,-0.46873972,-2.563014,0.11025585,-0.105913326
2005-04-04 00:00:00+00,LONG,2330,0.0,0.0,-0.59962153,-5.850828,0.16714494,-0.13762575
2005-04-04 00:00:00+00,LONG,3641,0.9310344827586207,0.0,-0.45992973,-4.8535275,0.11025585,-0.10546558
2005-04-15 00:00:00+00,LONG,1383,1.0,0.0,-0.5426558,-1.6511983,0.11173455,-0.10439657
2005-04-15 00:00:00+00,LONG,3794,1.0,0.0,-0.4398821,-2.3351977,0.15235718,-0.1295558
2005-04-18 00:00:00+00,LONG,2686,0.4569886326227233,0.0,-0.4184971,-0.3159483,0.06687562,-0.097725876
2005-04-18 00:00:00+00,LONG,3127,1.0,0.0,-0.5729696,-2.4859612,0.12565182,-0.12964286
2005-04-18 00:00:00+00,LONG,1092,0.6218901159882064,0.0,-0.5751474,-0.9510099,0.08414862,-0.09991103
2005-04-18 00:00:00+00,LONG,3794,0.9767441860465116,0.0,-0.47048253,-3.0202165,0.15235718,-0.15745324
2005-04-19 00:00:00+00,LONG,142,0.3710416513709797,0.0,-0.5700943,-2.6670601,0.11963773,-0.12110818
2005-04-19 00:00:00+00,LONG,3137,0.9787234042553191,0.0,-0.54741484,-1.7915272,0.11483881,-0.100630656
2005-04-19 00:00:00+00,LONG,1719,0.9791666666666666,0.0,-0.5453106,-5.6663156,0.14633733,-0.14432235
2005-04-21 00:00:00+00,LONG,3355,0.28273120784372263,0.0,-0.53858405,-0.6738298,0.11834799,-0.101626016
2005-04-21 00:00:00+00,LONG,1719,0.9375,0.0,-0.41690725,-0.7766821,0.16740333,-0.12352071
2005-04-22 00:00:00+00,LONG,142,0.5963017436912298,0.0,-0.40468854,-0.31769794,0.1425701,-0.10077093
2005-04-22 00:00:00+00,LONG,3355,0.28995228505081566,0.0,-0.47390765,-2.1910985,0.09943528,-0.11430793
2005-04-26 00:00:00+00,LONG,1719,0.875,0.0,-0.4685206,-0.43749675,0.16684791,-0.15609044
2005-04-28 00:00:00+00,LONG,3443,0.9666666666666667,0.0,-0.49816394,-3.8005834,0.16569416,-0.16578484
2005-04-29 00:00:00+00,LONG,191,1.0,0.0,-0.53437334,-1.4030534,0.11533836,-0.11724566
2005-05-02 00:00:00+00,LONG,191,0.9279035081856206,0.0,-0.43257657,-1.5326475,0.10433512,-0.1155034
2005-05-03 00:00:00+00,LONG,191,0.9375,0.0,-0.40562135,-1.6356244,0.10433512,-0.09968652
2005-05-05 00:00:00+00,LONG,2070,0.0,0.0,-0.47962722,-5.255227,0.12927186,-0.121658154
2005-05-05 00:00:00+00,LONG,2133,0.9047619047619048,0.0,-0.5995839,-3.2966743,0.09234678,-0.11880072
2005-05-05 00:00:00+00,LONG,1700,0.8571428571428572,0.0,-0.43759304,-1.5871524,0.11177791,-0.11929976
2005-05-06 00:00:00+00,LONG,2070,0.0,0.0,-0.5848492,-5.638686,0.13166243,-0.14831576
2005-05-09 00:00:00+00,LONG,2070,0.0,0.0,-0.49411923,-5.8210697,0.12515081,-0.13248707
2005-05-09 00:00:00+00,LONG,2133,0.72114979151711,0.0,-0.48710063,-1.8982065,0.074436635,-0.12641887
2005-05-10 00:00:00+00,LONG,2070,0.0,0.0,-0.43836764,1.5929393,0.10852115,-0.13433166
2005-05-11 00:00:00+00,LONG,2070,0.0,0.0,-0.48762158,-0.64696103,0.118415385,-0.15708478
2005-05-12 00:00:00+00,LONG,2070,0.22472924521704488,0.0,-0.48884848,-0.7447109,0.11879751,-0.1519025
2005-05-13 00:00:00+00,LONG,2070,0.0,0.0,-0.4762908,0.69952327,0.11879751,-0.11725461
2005-05-13 00:00:00+00,LONG,1108,0.9122807017543859,0.0,-0.46283382,-1.9076946,0.13458136,-0.1476082
2005-05-16 00:00:00+00,LONG,2619,1.0,0.0,-0.50628626,-4.4699674,0.10518522,-0.117425196
2005-05-16 00:00:00+00,LONG,1108,0.8947368421052632,0.0,-0.40935612,0.15033258,0.13458136,-0.1206422
2005-05-16 00:00:00+00,LONG,1236,0.0,0.0,-0.53023964,0.041340467,0.045209117,-0.14965676
2005-05-17 00:00:00+00,LONG,4224,0.0,0.0,-0.5899143,-0.9723692,0.12655993,-0.09622144
2005-05-17 00:00:00+00,LONG,2619,0.975609756097561,0.0,-0.49476522,-5.3168135,0.10518522,-0.13072215
2005-05-18 00:00:00+00,LONG,2619,0.9512195121951219,0.0,-0.52507806,-3.0267203,0.10518522,-0.13739546
2005-05-19 00:00:00+00,LONG,2619,0.563831950119256,0.0,-0.4997313,-1.4372456,0.09819628,-0.12688015
2005-05-20 00:00:00+00,LONG,498,0.9565217391304348,0.0,-0.47403714,-1.306841,0.11525916,-0.10203253
2005-05-20 00:00:00+00,LONG,2619,0.9024390243902439,0.0,-0.5232564,-1.3464682,0.104658164,-0.13097866
2005-05-23 00:00:00+00,LONG,2619,0.8780487804878049,0.0,-0.42876133,-0.3327563,0.104658164,-0.11834029
2005-05-24 00:00:00+00,LONG,93,0.5575102465629311,0.0,-0.48268074,0.07262391,0.14807972,-0.13943747
2005-06-03 00:00:00+00,LONG,4118,0.9807692307692307,0.0,-0.4615762,-1.981622,0.055352885,-0.13167259
2005-06-27 00:00:00+00,LONG,3828,0.45273901027559516,0.0,-0.5221943,-1.6619793,0.08314483,-0.099808425
2005-06-30 00:00:00+00,LONG,505,0.8571428571428572,0.0,-0.49128857,0.84589356,0.07627602,-0.13376917
2005-07-01 00:00:00+00,LONG,505,0.8214285714285714,0.0,-0.5019438,-0.9016936,0.07846449,-0.10480694
2005-07-01 00:00:00+00,LONG,3357,0.5203526037211801,0.0,-0.41230848,0.42767385,0.11677309,-0.09877791
2005-07-05 00:00:00+00,LONG,4172,0.25009699942644853,0.0,-0.54781204,1.1593533,0.1597229,-0.10649682
2005-07-05 00:00:00+00,LONG,2731,0.8601851223162422,0.0,-0.44863346,0.20320316,0.17038533,-0.11819364
2005-07-07 00:00:00+00,LONG,3137,1.0,0.0,-0.49094135,-0.8553383,0.06285543,-0.10171766
2005-07-07 00:00:00+00,LONG,1191,0.9807692307692307,0.0,-0.44206223,4.862601,0.102881506,-0.098386146
2005-08-05 00:00:00+00,LONG,4074,0.4350589946064226,0.0,-0.4576514,-0.3319501,0.09524753,-0.14863226
2005-08-12 00:00:00+00,LONG,1064,0.0,0.0,-0.45918697,-0.015534195,0.11046613,-0.19369009
2005-08-16 00:00:00+00,LONG,3882,0.0,0.0,-0.40585318,-3.0552933,0.16630368,-0.1361582
2005-08-26 00:00:00+00,LONG,843,0.8421052631578947,0.0,-0.53491503,-1.5399019,0.11891424,-0.10482529
2005-08-30 00:00:00+00,LONG,2116,0.962962962962963,0.0,-0.466634,-0.7405635,0.06988138,-0.10493827
2005-09-01 00:00:00+00,LONG,938,0.9310344827586207,0.0,-0.586549,-3.2809458,0.07441486,-0.19379194
2005-09-02 00:00:00+00,LONG,938,0.896551724137931,0.0,-0.5877278,-0.8047529,0.07441486,-0.17993227
2005-09-14 00:00:00+00,LONG,2462,0.22268013719176916,0.0,-0.49720415,3.7745185,0.1434792,-0.1080365
2005-10-10 00:00:00+00,LONG,1816,0.46224439497627384,0.0,-0.5516567,-2.3970034,0.13138162,-0.11057692
2005-10-13 00:00:00+00,LONG,68,0.9787234042553191,0.0,-0.5306413,-3.140181,0.13889262,-0.13473132
2005-10-13 00:00:00+00,LONG,1185,0.11693589764759643,0.0,-0.5206653,0.9965035,0.15186697,-0.13914901
2005-10-14 00:00:00+00,LONG,68,0.0,0.0,-0.6012341,-1.7337545,0.13889262,-0.12042161
2005-10-18 00:00:00+00,LONG,84,0.17050304639809552,0.0,-0.49200308,-0.29549482,0.07621635,-0.097346716
2005-10-18 00:00:00+00,LONG,2546,0.2707878708955461,0.0,-0.53849787,-0.7114636,0.14137614,-0.13284609
2005-10-18 00:00:00+00,LONG,1650,0.8979591836734694,0.0,-0.42822036,3.9050958,0.099902384,-0.10218254
2005-10-19 00:00:00+00,LONG,68,0.8936170212765957,0.0,-0.4886812,-0.3019014,0.10021732,-0.09637898
2005-10-19 00:00:00+00,LONG,4172,1.0,0.0,-0.55279404,-1.9534744,0.10661894,-0.1754263
2005-10-19 00:00:00+00,LONG,881,0.0,0.0,-0.4146703,0.055722095,0.07980085,-0.102391995
2005-10-20 00:00:00+00,LONG,4172,0.9767441860465116,0.0,-0.5622339,-1.7864223,0.10958018,-0.19329296
2005-10-21 00:00:00+00,LONG,2070,0.9705882352941176,0.0,-0.55207163,-1.493851,0.07501698,-0.097205915
2005-10-21 00:00:00+00,LONG,3743,0.35667191292430456,0.0,-0.46746755,-3.8284366,0.12382184,-0.14131185
2005-10-27 00:00:00+00,LONG,2815,0.16160717132214283,0.0,-0.4584198,2.0502987,0.07409432,-0.14299065
2005-10-27 00:00:00+00,LONG,1819,0.8666666666666667,0.0,-0.47820055,0.060593136,0.1066129,-0.1107258
2005-10-28 00:00:00+00,LONG,2349,0.6215171085016185,0.0,-0.4025229,-5.2020173,0.124424465,-0.11271805
2005-10-28 00:00:00+00,LONG,558,0.5494093529312287,0.0,-0.57433635,-3.6443145,0.07290269,-0.120632276
2005-10-28 00:00:00+00,LONG,3641,0.9772727272727273,0.0,-0.46610892,0.6797164,0.16743107,-0.1573604
2005-10-28 00:00:00+00,LONG,1819,0.8333333333333334,0.0,-0.48568606,0.38207814,0.1066129,-0.10519466
2005-10-31 00:00:00+00,LONG,3641,0.9545454545454546,0.0,-0.49196774,-1.6691769,0.17779252,-0.16912806
2005-11-01 00:00:00+00,LONG,3641,0.9318181818181819,0.0,-0.40955073,0.9781702,0.17779252,-0.14156193
2005-11-02 00:00:00+00,LONG,1867,0.5065869150261383,0.0,-0.45585433,-3.0424325,0.14363065,-0.09780312
2005-11-03 00:00:00+00,LONG,1453,0.6570098213633534,0.0,-0.41510034,-2.2320993,0.07457287,-0.110957004
2005-12-05 00:00:00+00,LONG,28,0.4643267694154682,0.0,-0.57712525,-5.6325,0.09218011,-0.10750216
2005-12-06 00:00:00+00,LONG,28,0.4971471041208017,0.0,-0.559886,-3.0254543,0.087601274,-0.110406265
2005-12-22 00:00:00+00,LONG,914,1.0,0.0,-0.5518973,-3.631003,0.048283122,-0.10691824
2005-12-27 00:00:00+00,LONG,443,0.6040785077874207,0.0,-0.5210207,-0.93496704,0.17951664,-0.13707288
2005-12-27 00:00:00+00,LONG,914,0.96,0.0,-0.49170226,-0.87876534,0.0414804,-0.10062893
2006-01-13 00:00:00+00,LONG,3539,1.0,0.0,-0.52587086,-6.0796185,0.12698951,-0.09800602
2006-01-17 00:00:00+00,LONG,220,0.0,0.0,-0.5960269,-4.799425,0.09128046,-0.109492004
2006-02-02 00:00:00+00,LONG,3853,0.9666666666666667,0.0,-0.58109975,-1.5258281,0.11735259,-0.10469314
2006-02-03 00:00:00+00,LONG,2070,0.46278692151921635,0.0,-0.5029272,-3.092249,0.081805155,-0.15899442
2006-02-06 00:00:00+00,LONG,2070,0.6299046171880753,0.0,-0.5001046,-3.2958803,0.081805155,-0.15596586
2006-02-06 00:00:00+00,LONG,1258,0.4396911325449923,0.0,-0.5656981,-0.46079823,0.09473465,-0.098394714
2006-02-07 00:00:00+00,LONG,2070,0.5664011374536513,0.0,-0.5210554,-1.061823,0.081805155,-0.16243829
2006-02-09 00:00:00+00,LONG,2070,0.0,0.0,-0.44221348,5.4432406,0.072786324,-0.17296687
2006-02-09 00:00:00+00,LONG,76,0.0,0.0,-0.48291665,1.7615864,0.14870705,-0.12626381
2006-02-09 00:00:00+00,LONG,4049,0.3977277106929753,0.0,-0.47383532,0.8301983,0.033416152,-0.12637562
2006-02-10 00:00:00+00,LONG,4049,0.2853859310701768,0.0,-0.5134916,-0.72854286,0.034079142,-0.11619609
2006-02-13 00:00:00+00,LONG,2070,0.3671435824278106,0.0,-0.4744188,2.1658912,0.07928363,-0.16958043
2006-02-14 00:00:00+00,LONG,76,0.0,0.0,-0.43432656,2.2832968,0.15604392,-0.14202425
2006-02-15 00:00:00+00,LONG,3773,0.0,0.0,-0.43542594,-2.6650794,0.1557201,-0.19308668
2006-03-06 00:00:00+00,LONG,3273,0.3137840935873111,0.0,-0.42315176,-3.586684,0.13469504,-0.10021445
2006-03-08 00:00:00+00,LONG,3273,0.4276219932262804,0.0,-0.41580573,-0.83987635,0.10352542,-0.10185886
2006-03-09 00:00:00+00,LONG,3573,0.9787234042553191,0.0,-0.478594,-4.930141,0.13348156,-0.18423694
