time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_50_2.0_df055,joint_fall_flag_1_20_df042
2005-10-03 00:00:00+00,SHORT,1840,0.0,-0.0049461285,1.0
2005-10-04 00:00:00+00,SHORT,3067,0.5065484310807038,-0.011511785,1.0
2005-10-10 00:00:00+00,SHORT,3868,0.0,-0.0105184,1.0
2005-10-13 00:00:00+00,SHORT,1473,0.4018515335904278,-0.00502238,1.0
2005-10-17 00:00:00+00,SHORT,1473,0.6,-0.0032771742,1.0
2005-10-20 00:00:00+00,SHORT,2247,0.0,-0.0056479936,1.0
2005-11-28 00:00:00+00,SHORT,1816,0.19530733674297213,-0.013180717,1.0
2005-12-02 00:00:00+00,SHORT,2297,0.5047761363980533,0.008807854,1.0
2005-12-05 00:00:00+00,SHORT,444,0.3620087188588662,0.002489169,1.0
2005-12-06 00:00:00+00,SHORT,444,0.36442811158518024,-0.009789491,1.0
2005-12-13 00:00:00+00,SHORT,2816,0.0,-0.007317626,1.0
2005-12-15 00:00:00+00,SHORT,2659,0.6558218543365969,-0.0050257505,1.0
2006-01-09 00:00:00+00,SHORT,588,0.0,0.0050629233,1.0
2006-01-09 00:00:00+00,SHORT,3203,0.799067747138502,4.3805467E-6,1.0
2006-01-11 00:00:00+00,SHORT,2084,0.95,-0.013076228,1.0
2006-01-11 00:00:00+00,SHORT,2090,0.1520704171339358,-0.0074929413,1.0
2006-01-12 00:00:00+00,SHORT,3794,0.0,-0.011020762,1.0
2006-01-13 00:00:00+00,SHORT,450,0.4012303173346503,-0.006693368,1.0
2006-01-17 00:00:00+00,SHORT,995,0.3436219085493039,-0.0015429459,1.0
2006-01-20 00:00:00+00,SHORT,2410,0.651392093647421,-0.011790794,1.0
2006-01-27 00:00:00+00,SHORT,131,0.16658603386740337,0.0034720912,1.0
2006-01-30 00:00:00+00,SHORT,131,0.12677484876883374,-1.5038316E-4,1.0
2006-02-01 00:00:00+00,SHORT,2125,0.6357181587399848,-0.010922327,1.0
2006-02-02 00:00:00+00,SHORT,2142,0.0,-0.009534238,1.0
2006-02-17 00:00:00+00,SHORT,2716,0.0,-0.010178312,1.0
2006-02-24 00:00:00+00,SHORT,3556,0.3243394717940305,-0.006850211,1.0
2006-02-27 00:00:00+00,SHORT,2343,0.44214803735689934,-0.0066047534,1.0
2006-02-27 00:00:00+00,SHORT,4070,0.3823027623930909,-0.009692322,1.0
2006-02-28 00:00:00+00,SHORT,3556,0.3290554411727506,-0.008738672,1.0
2006-03-02 00:00:00+00,SHORT,2568,0.0,-0.012763382,1.0
2006-03-16 00:00:00+00,SHORT,19,0.0,0.0010966674,1.0
2006-03-16 00:00:00+00,SHORT,2613,0.8063606684206732,-0.004731814,1.0
2006-03-16 00:00:00+00,SHORT,1176,0.0,-0.0043746615,1.0
2006-03-17 00:00:00+00,SHORT,3539,0.31764157948023436,0.0015300028,1.0
2006-03-22 00:00:00+00,SHORT,675,0.30221429320570725,-0.011153945,1.0
2006-03-23 00:00:00+00,SHORT,2527,0.5622029137746484,-0.008139975,1.0
2006-03-24 00:00:00+00,SHORT,1356,0.3194338349511216,0.0015682313,1.0
2006-03-28 00:00:00+00,SHORT,2761,0.0,-0.0076233833,1.0
2006-03-30 00:00:00+00,SHORT,641,0.5155346756383786,-0.012587791,1.0
