time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,delta_volume_21_df024,skew_weighted_10_df037
2005-05-31 00:00:00+00,SHORT,2815,0.18053274651703466,-0.042464897,158400.0,0.73964226
2005-05-31 00:00:00+00,SHORT,1244,1.0,-0.026441544,417200.0,0.86938584
2005-06-01 00:00:00+00,SHORT,2661,0.27048227107412387,-0.07881197,276830.0,0.74475306
2005-06-01 00:00:00+00,SHORT,1244,0.9166666666666666,-0.05266455,1215000.0,0.7594298
2005-06-02 00:00:00+00,SHORT,1244,0.8461538461538461,-0.03882229,84800.0,0.7521979
2005-06-03 00:00:00+00,SHORT,4032,1.0,-0.03523292,1646751.0,0.7311953
2005-06-09 00:00:00+00,SHORT,3824,0.5436582326675299,-0.019680517,449015.0,0.77776986
2005-06-14 00:00:00+00,SHORT,2613,0.0,-0.07852358,1149613.0,0.86221147
2005-06-14 00:00:00+00,SHORT,3837,0.624959555785825,-0.01210688,697608.0,0.7197532
2005-06-17 00:00:00+00,SHORT,2055,0.0,-0.012063975,1195564.0,0.7128428
2005-06-17 00:00:00+00,SHORT,2343,0.4046572580384719,-0.0029331923,-20705.0,0.8024101
2005-06-17 00:00:00+00,SHORT,687,0.20099737471289936,-0.015982011,1377500.0,0.79023904
2005-06-17 00:00:00+00,SHORT,3573,0.0,-0.0011866931,-85000.0,0.7188391
2005-06-20 00:00:00+00,SHORT,4086,0.07612320828031426,-0.034568585,4400.0,0.69715935
2005-06-21 00:00:00+00,SHORT,1297,0.19371339518753267,-0.03863776,-225133.0,0.7119272
2005-06-21 00:00:00+00,SHORT,4086,0.13480049155154594,-0.042746313,500.0,0.69715935
2005-06-22 00:00:00+00,SHORT,2248,0.0,-0.06099874,233594.0,0.74388146
2005-06-22 00:00:00+00,SHORT,2351,0.0,-0.046520814,368500.0,0.71358377
2005-06-22 00:00:00+00,SHORT,1297,0.18027945718920518,-0.051152762,9164.0,0.76794285
2005-06-22 00:00:00+00,SHORT,4062,0.0,-0.02192353,231400.0,0.8039041
2005-06-23 00:00:00+00,SHORT,457,0.17720134099265433,-0.0019459976,228730.0,0.8168608
2005-06-24 00:00:00+00,SHORT,457,0.10521001981724543,-0.013411091,-157671.0,0.7110892
2005-07-11 00:00:00+00,SHORT,3815,0.0,-0.014632355,1677500.0,0.757435
2005-07-12 00:00:00+00,SHORT,153,1.0,-0.032748375,361410.0,0.7050805
2005-07-12 00:00:00+00,SHORT,1112,0.0,-0.039067786,-86400.0,0.70953834
2005-07-12 00:00:00+00,SHORT,1298,0.0,-0.028156245,442900.0,0.7917983
2005-07-12 00:00:00+00,SHORT,3815,0.0,-0.034004897,1097500.0,0.7025268
2005-07-13 00:00:00+00,SHORT,1298,0.0,-0.045419198,-135500.0,0.7119672
2005-07-14 00:00:00+00,SHORT,3573,0.0,-0.02462096,134300.0,0.69999945
2005-07-15 00:00:00+00,SHORT,3573,0.0,-0.035920966,-81200.0,0.7500778
2005-07-15 00:00:00+00,SHORT,1939,1.0,-0.002193191,220198.0,0.7207121
2005-07-19 00:00:00+00,SHORT,2085,1.0,-0.039041493,1860819.0,0.75429523
2005-07-19 00:00:00+00,SHORT,2686,0.9256075021455707,-0.021500597,745000.0,0.73140657
2005-07-19 00:00:00+00,SHORT,1667,1.0,-0.048393942,680826.0,0.81149936
2005-07-20 00:00:00+00,SHORT,3716,0.8842259872678365,-0.021471063,-87200.0,0.85195345
2005-07-20 00:00:00+00,SHORT,1939,0.8333333333333334,-0.049362447,60035.0,0.81906974
2005-07-21 00:00:00+00,SHORT,1615,0.0,-0.033742387,661877.0,0.7124059
2005-07-21 00:00:00+00,SHORT,3973,0.3527971835415313,-0.023313237,250800.0,0.84414566
2005-07-28 00:00:00+00,SHORT,3677,0.0,-0.058978785,530864.0,0.7747338
2005-07-29 00:00:00+00,SHORT,1514,1.0,-0.015651494,76700.0,0.74380046
2005-07-29 00:00:00+00,SHORT,4013,0.41824211911162834,-0.013001794,166100.0,0.7187736
2005-08-02 00:00:00+00,SHORT,918,0.14886855719294073,-0.0092086755,243200.0,0.7737271
2005-08-02 00:00:00+00,SHORT,1826,0.14848991259398828,-0.022819748,-140400.0,0.7055571
2005-08-03 00:00:00+00,SHORT,2129,0.4247625859428777,-0.025730366,-141200.0,0.75982326
2005-08-03 00:00:00+00,SHORT,2261,1.0,-0.036060113,97408.0,0.80718684
2005-08-03 00:00:00+00,SHORT,401,0.36264758981609235,-0.048347995,-61800.0,0.69887537
2005-08-03 00:00:00+00,SHORT,2546,0.0,-0.032502078,1462140.0,0.73179597
2005-08-03 00:00:00+00,SHORT,3198,0.3100617070951723,-0.010436718,-25500.0,0.8205643
2005-08-03 00:00:00+00,SHORT,1191,0.7931155087969587,-0.08008695,1748360.0,0.72504574
2005-08-03 00:00:00+00,SHORT,3872,0.4465540217621683,-0.013029312,-146700.0,0.71182525
2005-08-04 00:00:00+00,SHORT,2129,0.3056100588317485,-0.0415542,23000.0,0.71514606
2005-08-04 00:00:00+00,SHORT,2703,0.41405175117179394,0.010522893,1588000.0,0.73538476
2005-08-09 00:00:00+00,SHORT,2747,0.7894314205451733,-0.011574052,520000.0,0.79397553
2005-08-10 00:00:00+00,SHORT,1474,0.31839081931853963,-0.035922106,879901.0,0.71383893
2005-08-10 00:00:00+00,SHORT,3703,0.2552213864749642,-0.07669729,1093400.0,0.8041329
2005-08-11 00:00:00+00,SHORT,1474,0.3067952239265803,-0.035448413,281701.0,0.7477378
2005-08-11 00:00:00+00,SHORT,3613,0.0,-0.026311576,659600.0,0.78025514
2005-08-12 00:00:00+00,SHORT,2125,0.0,-0.012611194,237600.0,0.73844975
2005-08-12 00:00:00+00,SHORT,457,0.2977533614342343,-0.021662213,-60908.0,0.71205616
2005-08-15 00:00:00+00,SHORT,1012,0.0,-0.033987917,698600.0,0.8002179
2005-08-23 00:00:00+00,SHORT,1176,0.3276126900811456,-0.0338953,-49600.0,0.7385048
2005-08-24 00:00:00+00,SHORT,1176,0.29552640090454496,-0.054496843,66000.0,0.7387083
2005-09-02 00:00:00+00,SHORT,69,0.0,-0.01733764,909500.0,0.78886724
