time,side,ticker_id,mv_dn_composite_labels,dist_lower_bb_20_2.5_df055,price_drift_1_df005,dist_upper_bb_50_2.5_df055
2005-02-16 00:00:00+00,SHORT,3127,0.6264284570020944,-0.20031074,0.013726836,0.010881031
2005-02-16 00:00:00+00,SHORT,3469,0.4319206056117726,-0.076366045,-0.009683099,-0.0030598643
2005-02-17 00:00:00+00,SHORT,2536,0.1706404882847032,-0.15935072,-0.0020090407,-0.020054676
2005-02-17 00:00:00+00,SHORT,2643,0.9090909090909091,-0.11676606,-0.007876532,-0.004591742
2005-02-17 00:00:00+00,SHORT,3742,0.29022261822527906,-0.03718158,0.0011881188,-0.023601752
2005-02-18 00:00:00+00,SHORT,457,0.717622730232663,-0.100873955,0.011684698,-0.0021256155
2005-02-18 00:00:00+00,SHORT,2643,0.8181818181818181,-0.10629282,-0.0052272496,-0.01408529
2005-02-18 00:00:00+00,SHORT,857,0.3333003837554723,-0.18085164,-0.0058479533,-0.0015609608
2005-02-18 00:00:00+00,SHORT,3127,0.41204580580926,-0.15904346,-3.4698125E-4,-0.021871991
2005-02-18 00:00:00+00,SHORT,3742,0.22146274466071764,-0.036584087,7.9113926E-4,-0.023291983
2005-02-18 00:00:00+00,SHORT,3791,0.5378446040268953,-0.0862844,-0.0035793954,0.0030942229
2005-02-24 00:00:00+00,SHORT,857,0.07884642604055651,-0.1436739,0.014119308,-0.019324588
2005-02-25 00:00:00+00,SHORT,857,0.0,-0.14991346,0.014618865,-0.010923812
2005-02-25 00:00:00+00,SHORT,1012,0.6575197197697998,-0.18913983,0.012753434,-0.002651164
2005-02-28 00:00:00+00,SHORT,602,0.4173214120357523,-0.11624117,0.0,-1.0892824E-4
2005-02-28 00:00:00+00,SHORT,1012,0.5719437910287027,-0.18275058,0.002260252,-0.010353925
2005-03-01 00:00:00+00,SHORT,2230,0.3521015264646416,-0.13216855,0.008715883,-0.0070473575
2005-03-04 00:00:00+00,SHORT,84,1.0,-0.043020166,0.011119781,-0.011578803
2005-03-04 00:00:00+00,SHORT,3275,0.5046025998307173,-0.16890378,0.014004668,0.005270375
2005-03-04 00:00:00+00,SHORT,3466,0.8840482875978609,-0.14881746,0.0074916044,-0.021489363
2005-03-07 00:00:00+00,SHORT,2230,0.3721874226873674,-0.13528377,-0.006614491,-0.019719891
2005-03-07 00:00:00+00,SHORT,2425,0.24082912362429418,-0.032376073,-0.007325202,-0.023634199
2005-03-07 00:00:00+00,SHORT,2961,0.18810216170249863,-0.0810794,-0.007844536,-0.020424178
2005-03-07 00:00:00+00,SHORT,1184,0.6651594412380668,-0.15505557,-0.005526083,0.0031031482
