time,side,ticker_id,mv_up_composite_labels,ev_ebitda_industry_relative_df086,dist_lower_bb_50_2.0_df055
2005-12-14 00:00:00+00,LONG,897,0.5326090770108821,0.1117,0.0038032876
2005-12-16 00:00:00+00,LONG,897,0.42574322176418067,0.1128,0.0091016535
2005-12-27 00:00:00+00,LONG,2067,0.0,0.0292,0.05260478
2005-12-28 00:00:00+00,LONG,2067,0.0,0.0291,0.047963955
2005-12-29 00:00:00+00,LONG,2067,0.0,0.0289,0.024396079
2005-12-30 00:00:00+00,LONG,2067,0.0,0.0282,0.02759156
2006-02-03 00:00:00+00,LONG,1333,0.39081465000413124,0.0245,-0.006303706
2006-02-14 00:00:00+00,LONG,1333,0.16883341875870092,0.024,-0.008297233
2006-03-08 00:00:00+00,LONG,84,0.3161103711551416,0.0552,0.0029191603
2006-04-03 00:00:00+00,LONG,101,0.20587101849136327,0.145,0.014977108
2006-04-07 00:00:00+00,LONG,101,0.1558359197094207,0.1448,4.5064843E-4
2006-04-10 00:00:00+00,LONG,101,0.0,0.1449,-0.0033631104
2006-04-11 00:00:00+00,LONG,101,0.14433974548424108,0.145,-0.003612144
2006-04-12 00:00:00+00,LONG,101,0.0,0.145,-0.006364515
2006-05-17 00:00:00+00,LONG,1210,1.0,0.1079,-0.0076497006
2006-05-18 00:00:00+00,LONG,84,0.699616793643633,0.0861,0.01226471
2006-05-18 00:00:00+00,LONG,1333,1.0,0.0783,-0.0060668904
2006-05-19 00:00:00+00,LONG,84,0.6644933542582291,0.0867,-0.0037667034
2006-05-19 00:00:00+00,LONG,2617,0.8754924522995371,0.0818,-0.0042756926
2006-05-23 00:00:00+00,LONG,84,0.6185189904234403,0.0864,0.0010240619
2006-05-23 00:00:00+00,LONG,2617,0.7293823129015266,0.0819,-0.008735254
2006-06-13 00:00:00+00,LONG,2055,0.48739224337542114,0.1488,0.031565674
2006-07-06 00:00:00+00,LONG,1235,1.0,0.0882,-0.006728654
2006-07-14 00:00:00+00,LONG,3241,0.0,0.1096,-0.007934104
2006-07-18 00:00:00+00,LONG,3241,1.0,0.1079,-0.0014247876
2006-08-14 00:00:00+00,LONG,68,1.0,0.0887,0.060989503
2006-08-15 00:00:00+00,LONG,68,0.7483263725629401,0.0837,0.04210359
2006-08-16 00:00:00+00,LONG,68,0.0,0.0901,0.02912271
2006-08-17 00:00:00+00,LONG,68,0.6015320438286623,0.0868,0.015775742
2006-08-18 00:00:00+00,LONG,68,0.0,0.09,0.00404607
2006-08-21 00:00:00+00,LONG,68,0.8,0.0923,0.022992486
2006-08-22 00:00:00+00,LONG,68,0.76,0.0899,0.0071008746
2006-11-09 00:00:00+00,LONG,2004,0.5279466437485608,0.1396,0.004152527
2006-11-10 00:00:00+00,LONG,101,0.3025596282431764,0.0623,-0.005586964
2006-11-10 00:00:00+00,LONG,2004,0.5117604797621054,0.1336,-0.0016002608
2006-11-13 00:00:00+00,LONG,101,0.2566910598840981,0.0621,-0.0037364333
2006-11-14 00:00:00+00,LONG,101,0.20877525332230015,0.0623,-0.008680688
2006-11-15 00:00:00+00,LONG,101,0.19748243099227722,0.0619,-0.0036782909
2006-11-16 00:00:00+00,LONG,101,0.16785637728731354,0.0621,-0.008106143
2006-11-17 00:00:00+00,LONG,101,0.14613777964599708,0.0621,-0.0085020475
2006-11-20 00:00:00+00,LONG,101,0.12829494643967468,0.0617,-0.0030203245
2006-11-20 00:00:00+00,LONG,1361,1.0,0.04,-0.0048941267
2006-11-21 00:00:00+00,LONG,101,0.09795743930872389,0.062,-0.008069413
2006-11-24 00:00:00+00,LONG,101,0.033704590361026125,0.062,-0.007330746
2006-11-27 00:00:00+00,LONG,101,0.0,0.0617,-0.0032353322
2006-12-01 00:00:00+00,LONG,101,0.8358499022751255,0.0611,6.983236E-4
2006-12-04 00:00:00+00,LONG,101,0.8040477160628701,0.0614,-0.005784552
2007-01-10 00:00:00+00,LONG,1667,0.5728648303721218,0.0666,0.002345551
2007-01-11 00:00:00+00,LONG,2261,1.0,0.0801,0.040094066
2007-01-12 00:00:00+00,LONG,2261,0.9696969696969697,0.0798,0.034000173
2007-01-12 00:00:00+00,LONG,1039,1.0,0.0422,-0.0083607845
2007-01-12 00:00:00+00,LONG,1411,1.0,0.0455,-0.0063458374
2007-01-16 00:00:00+00,LONG,2261,0.9393939393939394,0.0811,0.006606528
2007-01-16 00:00:00+00,LONG,1411,0.96875,0.0455,-0.008498688
2007-01-17 00:00:00+00,LONG,2261,0.9090909090909091,0.0814,-9.783729E-4
2007-01-17 00:00:00+00,LONG,1235,1.0,0.0657,0.0057777427
2007-01-18 00:00:00+00,LONG,1235,0.9642857142857143,0.0658,-0.0042080763
2007-01-18 00:00:00+00,LONG,3853,1.0,0.1461,5.4782526E-5
2007-01-19 00:00:00+00,LONG,3853,0.962962962962963,0.1486,-0.0043842676
2007-01-23 00:00:00+00,LONG,1411,0.8125,0.0454,-0.007853077
2007-01-25 00:00:00+00,LONG,1684,0.0,0.0576,-0.008786122
2007-03-05 00:00:00+00,LONG,3192,0.7879245332169827,0.1146,0.039240893
2007-03-05 00:00:00+00,LONG,1303,0.9406121587312084,0.0329,0.0035558133
2007-03-05 00:00:00+00,LONG,3824,0.6566341097141147,0.0797,0.02932125
2007-03-06 00:00:00+00,LONG,3192,0.9795918367346939,0.1119,0.013332359
2007-03-07 00:00:00+00,LONG,3192,0.6356389465711622,0.1123,1.1945668E-4
2007-03-14 00:00:00+00,LONG,39,1.0,0.0369,-0.0049673403
2007-03-16 00:00:00+00,LONG,39,0.9534883720930233,0.0369,-0.00527945
2007-04-04 00:00:00+00,LONG,975,1.0,0.0439,-0.005785881
2007-04-10 00:00:00+00,LONG,4083,1.0,0.115,-0.008094438
2007-04-11 00:00:00+00,LONG,73,0.49237436766312875,0.0222,0.025700683
2007-04-12 00:00:00+00,LONG,73,0.3618269644574361,0.023,9.558662E-5
2007-04-13 00:00:00+00,LONG,73,0.363602942645892,0.023,3.8350464E-4
2007-04-16 00:00:00+00,LONG,73,0.3908856944002036,0.0226,-0.0031720302
2007-04-17 00:00:00+00,LONG,73,0.6107530651364387,0.0228,-0.007860263
2007-05-15 00:00:00+00,LONG,1437,0.4094632342069695,0.014,-0.004815503
2007-06-07 00:00:00+00,LONG,787,0.0,0.0299,0.010090295
2007-06-08 00:00:00+00,LONG,2961,0.0,0.1231,-0.001513424
2007-06-12 00:00:00+00,LONG,787,0.0,0.0298,-0.0023606138
2007-06-12 00:00:00+00,LONG,1303,0.0,0.0543,0.008782841
2007-06-13 00:00:00+00,LONG,1303,0.0,0.0534,-0.0041671894
2007-06-22 00:00:00+00,LONG,91,0.8530734263917051,0.0593,0.0055361553
2007-06-22 00:00:00+00,LONG,1361,0.6666666666666666,0.0963,-0.0023299903
2007-08-09 00:00:00+00,LONG,2276,0.9444444444444444,0.0743,0.008376985
2007-08-16 00:00:00+00,LONG,2430,1.0,0.0944,0.011826549
2007-08-16 00:00:00+00,LONG,1244,1.0,0.0599,0.04454265
2007-08-16 00:00:00+00,LONG,3613,1.0,0.0291,0.008873032
2007-08-16 00:00:00+00,LONG,1967,0.0,0.0777,0.02566867
