time,side,ticker_id,mv_dn_composite_labels,price_drift_1_df005,dist_upper_bb_20_2.0_df055
2005-09-12 00:00:00+00,SHORT,1767,0.5502642464024725,0.02179168,0.014182919
2005-09-12 00:00:00+00,SHORT,1960,1.0,0.022698613,0.0046147187
2005-09-13 00:00:00+00,SHORT,1650,1.0,0.025471698,0.013312044
2005-09-28 00:00:00+00,SHORT,2670,0.0,0.020671835,0.004988929
2005-09-28 00:00:00+00,SHORT,3013,0.5285774135553772,0.020926489,0.0024225353
2005-09-29 00:00:00+00,SHORT,3754,0.48999192819101395,0.02936021,0.019397838
2005-10-03 00:00:00+00,SHORT,2116,1.0,0.023715414,0.021075664
2005-10-03 00:00:00+00,SHORT,2272,1.0,0.03312379,0.005633065
2005-10-03 00:00:00+00,SHORT,2567,0.29354802469742813,0.02556391,0.012568555
2005-10-12 00:00:00+00,SHORT,1473,0.3742523090940432,0.026543012,0.0031720256
2005-10-17 00:00:00+00,SHORT,1244,1.0,0.027234944,0.0014871449
2005-10-19 00:00:00+00,SHORT,2681,0.0,0.0317105,0.0064972104
2005-10-21 00:00:00+00,SHORT,522,0.5543575191872698,0.02781993,0.010523947
2005-10-24 00:00:00+00,SHORT,3343,0.0,0.032320622,0.006080633
2005-10-24 00:00:00+00,SHORT,3430,0.3146163285139102,0.02750401,0.010615457
2005-11-02 00:00:00+00,SHORT,3275,0.0,0.025311813,0.017077181
2005-11-02 00:00:00+00,SHORT,3310,0.0,0.023946268,0.011341258
2005-11-03 00:00:00+00,SHORT,523,0.0,0.021602787,0.0036939583
2005-11-03 00:00:00+00,SHORT,838,0.0,0.021406727,0.0012672115
2005-11-03 00:00:00+00,SHORT,1740,0.0,0.027482128,0.0031705815
2005-11-08 00:00:00+00,SHORT,1790,0.32989826628732005,0.032,0.011903571
2005-11-09 00:00:00+00,SHORT,710,0.33642895144459917,0.026526162,0.019907283
2005-11-11 00:00:00+00,SHORT,2175,0.0,0.031758957,0.0014787838
2005-11-14 00:00:00+00,SHORT,39,0.37351541413018957,0.023645498,0.012609348
2005-11-15 00:00:00+00,SHORT,3699,0.0,0.030175438,0.0041173883
2005-11-17 00:00:00+00,SHORT,4215,0.9166666666666666,0.03311897,-1.3175742E-4
2005-11-21 00:00:00+00,SHORT,2142,0.16241656547440741,0.021943573,0.008983381
2005-11-22 00:00:00+00,SHORT,3912,0.4968246089976102,0.020335082,0.0054948367
2005-12-01 00:00:00+00,SHORT,2297,0.564537023647769,0.025327906,0.022248719
2005-12-01 00:00:00+00,SHORT,3456,0.2617417015520155,0.022715865,0.020614255
2005-12-06 00:00:00+00,SHORT,2041,0.0,0.034153458,0.020548824
2005-12-14 00:00:00+00,SHORT,870,0.0,0.029620921,0.018599203
2006-01-04 00:00:00+00,SHORT,2670,0.7248949887078712,0.034412954,0.01512772
2006-01-06 00:00:00+00,SHORT,588,0.0,0.027434843,0.01851684
2006-01-06 00:00:00+00,SHORT,2863,0.7494819255452438,0.025801407,0.003720812
2006-01-06 00:00:00+00,SHORT,1897,1.0,0.02525089,0.0043678433
2006-01-06 00:00:00+00,SHORT,1967,0.14559746373647175,0.020630052,9.649205E-4
2006-01-09 00:00:00+00,SHORT,200,0.2293554079895701,0.034174312,0.00932527
2006-01-09 00:00:00+00,SHORT,2548,0.40751120322521006,0.020947948,0.028455507
2006-01-09 00:00:00+00,SHORT,1762,0.0,0.02016129,0.010170087
2006-01-10 00:00:00+00,SHORT,2557,0.5624944867269864,0.023146832,0.018983155
2006-01-11 00:00:00+00,SHORT,394,0.0,0.029579068,0.03823335
2006-01-11 00:00:00+00,SHORT,1090,1.0,0.026028756,0.024925025
2006-01-12 00:00:00+00,SHORT,13,0.0,0.02672457,0.019221487
2006-01-12 00:00:00+00,SHORT,1072,0.0,0.022212226,0.003948504
2006-01-13 00:00:00+00,SHORT,2349,0.40643544581678465,0.024400273,0.005381553
2006-01-25 00:00:00+00,SHORT,3631,0.5966089874289687,0.03521127,0.001380221
2006-01-27 00:00:00+00,SHORT,664,0.26670743036269284,0.029719904,0.015488977
2006-01-27 00:00:00+00,SHORT,1474,0.19522682436390498,0.029106334,-1.2367753E-4
2006-01-30 00:00:00+00,SHORT,4086,0.5279452384575444,0.020527612,0.0055365264
2006-01-31 00:00:00+00,SHORT,2125,1.0,0.029438002,0.019895392
2006-01-31 00:00:00+00,SHORT,2896,0.4207641580533378,0.03429596,0.0163004
2006-01-31 00:00:00+00,SHORT,3947,0.7085557978873286,0.025194962,0.001131142
2006-02-01 00:00:00+00,SHORT,3433,0.20789882148663438,0.027931035,0.019436685
2006-02-02 00:00:00+00,SHORT,142,1.0,0.02590909,0.0043813307
2006-02-02 00:00:00+00,SHORT,3078,0.3053211264320574,0.025015635,0.01115177
2006-02-06 00:00:00+00,SHORT,559,0.45846891705784387,0.030985527,0.01046395
