time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_20_2.0_df055,dist_lower_bb_50_2.0_df055,joint_fall_flag_5_20_df042
2005-01-24 00:00:00+00,LONG,4237,0.3257656741469902,-0.030895237,-0.013271646,0.0
2005-01-24 00:00:00+00,LONG,2248,0.9827586206896551,-0.025106687,-0.00995721,0.0
2005-01-24 00:00:00+00,LONG,234,1.0,-0.04971297,-0.011918162,0.0
2005-01-24 00:00:00+00,LONG,2305,0.6468040836494974,-0.03286039,-0.0140498215,0.0
2005-01-24 00:00:00+00,LONG,304,0.65625,-0.032584284,-0.017291134,0.0
2005-01-24 00:00:00+00,LONG,309,0.0,-0.03225345,-0.00979049,0.0
2005-01-24 00:00:00+00,LONG,465,0.43731918831008826,-0.021503793,-0.019608093,0.0
2005-01-24 00:00:00+00,LONG,2778,0.4347965613127948,-0.04003414,-0.013675204,0.0
2005-01-24 00:00:00+00,LONG,857,0.3779760764972217,-0.018429467,-0.015976237,0.0
2005-01-24 00:00:00+00,LONG,862,0.6181107662337338,-0.0360307,-0.02008939,0.0
2005-01-24 00:00:00+00,LONG,988,0.9827586206896551,-0.030209573,-0.017995637,0.0
2005-01-24 00:00:00+00,LONG,1410,0.0,-0.024943532,-0.010594922,0.0
2005-01-24 00:00:00+00,LONG,3802,0.6141444192178867,-0.014159449,-0.010448226,0.0
2005-01-24 00:00:00+00,LONG,3815,0.8292682926829268,-0.03283138,-0.018785413,0.0
2005-01-24 00:00:00+00,LONG,4049,0.4796424770151398,-0.04401248,-0.010862852,0.0
2005-01-25 00:00:00+00,LONG,4237,0.3747074411850655,-0.035544965,-0.018551722,0.0
2005-01-25 00:00:00+00,LONG,2248,0.9655172413793104,-0.027207442,-0.01307624,0.0
2005-01-25 00:00:00+00,LONG,270,0.22313783781565832,-0.043811277,-0.014353369,0.0
2005-01-25 00:00:00+00,LONG,2751,0.0,-0.034619793,-0.018338088,0.0
2005-01-25 00:00:00+00,LONG,857,0.3476516507736833,-0.016483119,-0.014319019,0.0
2005-01-25 00:00:00+00,LONG,988,0.9655172413793104,-0.03879419,-0.014976052,0.0
2005-01-25 00:00:00+00,LONG,3330,0.09181160378325023,-0.01922503,-0.013257328,0.0
2005-01-25 00:00:00+00,LONG,1330,0.0,-0.025967585,-0.014532972,0.0
2005-01-25 00:00:00+00,LONG,1454,0.0,-0.036709398,-0.0146887945,0.0
2005-01-25 00:00:00+00,LONG,3802,0.37337933157379277,-0.020535797,-0.015489074,0.0
2005-01-25 00:00:00+00,LONG,3815,0.8048780487804879,-0.032701574,-0.019204158,0.0
2005-01-25 00:00:00+00,LONG,3824,0.7954192807933301,-0.043348204,-0.019387765,0.0
2005-01-25 00:00:00+00,LONG,3841,0.0,-0.028373955,-0.018800715,0.0
2005-01-25 00:00:00+00,LONG,4049,0.48227459053458716,-0.042394523,-0.010316592,0.0
2005-01-26 00:00:00+00,LONG,1,0.0,-0.054068323,-0.018267674,0.0
2005-01-26 00:00:00+00,LONG,142,0.5536374725322191,-0.061840285,-0.0149175795,0.0
2005-01-26 00:00:00+00,LONG,2253,0.6696304767646749,-0.03481001,-0.016240751,0.0
2005-01-26 00:00:00+00,LONG,2681,0.47694718647866663,-0.019914148,-0.01363419,0.0
2005-01-26 00:00:00+00,LONG,2686,0.8013269613502619,-0.03965719,-0.0098570045,0.0
2005-01-26 00:00:00+00,LONG,2778,0.3789137703301416,-0.04151643,-0.016236136,0.0
2005-01-26 00:00:00+00,LONG,857,0.3684402999143373,-0.02014486,-0.018615035,0.0
2005-01-26 00:00:00+00,LONG,3109,0.23414856769821374,-0.02968134,-0.016869858,0.0
2005-01-26 00:00:00+00,LONG,1076,0.5826213873270367,-0.02139938,-0.011599163,0.0
2005-01-26 00:00:00+00,LONG,3148,0.0,-0.071390085,-0.013211093,0.0
2005-01-26 00:00:00+00,LONG,3519,0.27652828806163443,-0.01842254,-0.009653904,0.0
2005-01-26 00:00:00+00,LONG,3596,0.0,-0.05751164,-0.010301484,0.0
2005-01-26 00:00:00+00,LONG,3699,0.0,-0.066416495,-0.008164752,0.0
2005-01-26 00:00:00+00,LONG,3802,0.37967198282306963,-0.020197233,-0.015518778,0.0
2005-01-26 00:00:00+00,LONG,3855,0.33776502167662065,-0.030701166,-0.012518236,0.0
2005-01-26 00:00:00+00,LONG,4049,0.4665714038483923,-0.04521624,-0.014939296,0.0
2005-01-27 00:00:00+00,LONG,1,0.0,-0.051011603,-0.020534476,0.0
2005-01-27 00:00:00+00,LONG,323,0.9444444444444444,-0.045003213,-0.009426679,0.0
2005-01-27 00:00:00+00,LONG,2778,0.4104906046375885,-0.033282053,-0.011253731,0.0
2005-01-27 00:00:00+00,LONG,857,0.38190053607237695,-0.01902174,-0.021232875,0.0
2005-01-27 00:00:00+00,LONG,3109,0.8076923076923077,-0.031426083,-0.01875205,0.0
2005-01-27 00:00:00+00,LONG,1076,0.6984939920915507,-0.023431838,-0.013585393,0.0
2005-01-27 00:00:00+00,LONG,3330,0.08820504258428784,-0.02333,-0.01634696,0.0
2005-01-27 00:00:00+00,LONG,1360,0.7924528301886793,-0.049667433,-0.011498522,0.0
2005-01-27 00:00:00+00,LONG,3519,0.2668745781424456,-0.017287716,-0.008068285,0.0
2005-01-27 00:00:00+00,LONG,3596,0.0,-0.052919026,-0.009076106,0.0
2005-01-27 00:00:00+00,LONG,4049,0.46699454385925293,-0.043151084,-0.01685493,0.0
2005-01-28 00:00:00+00,LONG,323,0.9166666666666666,-0.054670826,-0.01998399,0.0
2005-01-28 00:00:00+00,LONG,2710,0.0,-0.013952209,-0.01995523,0.0
2005-01-28 00:00:00+00,LONG,2751,0.0,-0.019265357,-0.009866908,0.0
2005-01-28 00:00:00+00,LONG,730,0.4216546016677703,-0.016382068,-0.017437842,0.0
2005-01-28 00:00:00+00,LONG,857,0.361771687475853,-0.015657088,-0.02096522,0.0
2005-01-28 00:00:00+00,LONG,1051,0.0,-0.015738994,-0.013740929,0.0
2005-01-28 00:00:00+00,LONG,3109,0.21982458233762606,-0.030760664,-0.019851094,0.0
2005-01-28 00:00:00+00,LONG,1076,0.6522552441136585,-0.019118961,-0.010592615,0.0
2005-01-28 00:00:00+00,LONG,3203,0.3824671805474855,-0.022461487,-0.019465517,0.0
2005-01-28 00:00:00+00,LONG,3330,0.047730006328672366,-0.02364092,-0.017162925,0.0
2005-01-28 00:00:00+00,LONG,3519,0.42119304073349123,-0.024445817,-0.01584484,0.0
2005-01-28 00:00:00+00,LONG,1514,0.972972972972973,-0.033409357,-0.018020842,0.0
2005-01-28 00:00:00+00,LONG,3716,0.0,-0.032292377,-0.01581335,0.0
2005-01-28 00:00:00+00,LONG,3855,0.28716820062419707,-0.03480878,-0.020942504,0.0
2005-01-31 00:00:00+00,LONG,2567,0.0,-0.051055722,-0.009669919,0.0
2005-01-31 00:00:00+00,LONG,2751,0.0,-0.017006269,-0.012703411,0.0
2005-01-31 00:00:00+00,LONG,786,0.0,-0.03997508,-0.017944789,0.0
2005-01-31 00:00:00+00,LONG,2923,0.0,-0.029648378,-0.009716787,0.0
2005-01-31 00:00:00+00,LONG,3109,0.7307692307692307,-0.023355871,-0.0135925645,0.0
2005-01-31 00:00:00+00,LONG,3203,0.3355188047803331,-0.024477195,-0.021324009,0.0
