time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,weighted_neg_sum_20_df036
2005-06-21 00:00:00+00,SHORT,2006,0.3568095509434414,0.0021820723,0.07934027
2005-06-22 00:00:00+00,SHORT,413,0.4835819727063172,-0.0057431706,0.029969815
2005-06-22 00:00:00+00,SHORT,2482,0.6041900282550655,-6.648532E-4,0.049803328
2005-06-23 00:00:00+00,SHORT,457,0.17720134099265433,-0.0019459976,0.09212204
2005-06-23 00:00:00+00,SHORT,1816,0.17399030173167704,-0.0045648576,0.042171713
2005-06-24 00:00:00+00,SHORT,323,0.7030225634076364,1.593238E-4,0.095578566
2005-07-01 00:00:00+00,SHORT,787,1.0,-0.0016431843,0.07672846
2005-07-12 00:00:00+00,SHORT,28,1.0,-1.6078782E-5,0.030529842
2005-07-13 00:00:00+00,SHORT,3573,0.0,0.002636838,0.12609896
2005-07-15 00:00:00+00,SHORT,3825,0.5423765053031164,0.011698051,0.08824011
2005-07-15 00:00:00+00,SHORT,1939,1.0,-0.002193191,0.20140366
2005-07-19 00:00:00+00,SHORT,1423,1.0,-0.003431892,0.13799013
2005-07-20 00:00:00+00,SHORT,2305,1.0,-0.0014676817,0.1035041
2005-07-22 00:00:00+00,SHORT,3748,1.0,0.01791012,0.10062873
2005-07-27 00:00:00+00,SHORT,2640,0.0,0.026226219,0.10396755
2005-07-27 00:00:00+00,SHORT,786,0.2821124318588489,0.0027340106,0.05325025
2005-07-28 00:00:00+00,SHORT,4163,0.0,0.009278194,0.059022505
2005-07-28 00:00:00+00,SHORT,786,0.30023162707351003,-4.6037926E-4,0.05325025
2005-07-28 00:00:00+00,SHORT,3818,1.0,-0.0027621454,0.045612182
2005-07-29 00:00:00+00,SHORT,69,1.0,-5.3532276E-4,0.06529134
2005-07-29 00:00:00+00,SHORT,2638,0.0,-0.0026627348,0.039086845
2005-07-29 00:00:00+00,SHORT,730,0.058854377807013865,0.0061282096,0.034152832
2005-08-01 00:00:00+00,SHORT,3703,0.21595723047922383,0.0132569065,0.08419452
2005-08-02 00:00:00+00,SHORT,3078,0.0,-0.0053306096,0.07435282
2005-08-03 00:00:00+00,SHORT,694,0.23949441381084485,0.0034633942,0.1084619
2005-08-03 00:00:00+00,SHORT,3067,0.0,1.1003015E-4,0.040375713
2005-08-03 00:00:00+00,SHORT,1039,0.0,0.001135639,0.06260705
2005-08-04 00:00:00+00,SHORT,2430,0.19918426047399074,0.001401428,0.04056917
2005-08-04 00:00:00+00,SHORT,2703,0.41405175117179394,0.010522893,0.07448302
2005-08-10 00:00:00+00,SHORT,457,0.39643777930366614,-0.004148915,0.069828175
2005-08-11 00:00:00+00,SHORT,85,0.5530877325965516,-8.551343E-4,0.056359153
2005-08-11 00:00:00+00,SHORT,2391,1.0,0.02245059,0.049744956
2005-08-11 00:00:00+00,SHORT,1063,0.6565522946881533,-0.004585233,0.08304691
2005-08-15 00:00:00+00,SHORT,2742,0.0,0.0031044674,0.07864742
2005-08-24 00:00:00+00,SHORT,2142,0.33834333364202857,-2.2592897E-6,0.10232237
2005-08-24 00:00:00+00,SHORT,3255,0.0,0.004007907,0.056236744
2005-08-25 00:00:00+00,SHORT,3148,1.0,0.003945937,0.13915823
2005-09-01 00:00:00+00,SHORT,1396,0.7413458699032404,0.027428128,0.16206703
2005-09-01 00:00:00+00,SHORT,3613,1.0,-0.0052115805,0.1442796
