time,side,ticker_id,mv_dn_composite_labels,ma_cloud_diff_8_50_df007,earnings_drift_10_df011
2006-11-09 00:00:00+00,SHORT,1610,0.26331578797974375,-0.023560284,0.10680597
2006-11-09 00:00:00+00,SHORT,3837,0.0,0.030103829,0.102930665
2006-11-09 00:00:00+00,SHORT,1949,0.5010443905983083,0.047249347,0.10510949
2006-11-15 00:00:00+00,SHORT,3918,0.008003223406846326,-0.011269279,0.09162648
2006-11-16 00:00:00+00,SHORT,157,0.5259883882983477,0.030730465,0.091893256
2007-02-06 00:00:00+00,SHORT,2557,0.6090324230675815,0.026083535,0.13561244
2007-02-06 00:00:00+00,SHORT,3187,0.46872747019918987,0.09431221,0.104450345
2007-02-07 00:00:00+00,SHORT,2557,0.5134479432385896,0.038631454,0.11535969
2007-02-09 00:00:00+00,SHORT,2613,1.0,-0.0012588117,0.09411765
2007-02-13 00:00:00+00,SHORT,4013,0.9229310936858101,0.051531922,0.09783348
2007-02-14 00:00:00+00,SHORT,219,1.0,0.04959723,0.09332732
2007-02-14 00:00:00+00,SHORT,3837,0.0,0.028917145,0.20655927
2007-02-14 00:00:00+00,SHORT,4013,0.8725563133995419,0.058802612,0.094482385
2007-03-27 00:00:00+00,SHORT,1396,0.7850856884997082,-6.9452653E-4,0.34052387
2007-05-15 00:00:00+00,SHORT,1897,0.0,0.03856635,0.10523703
2007-05-17 00:00:00+00,SHORT,191,0.49996993637673837,0.060172595,0.09822064
2007-05-18 00:00:00+00,SHORT,191,0.41904463211191734,0.079776786,0.10960854
2007-05-21 00:00:00+00,SHORT,191,0.4203978629555342,0.094616994,0.09822064
2007-05-22 00:00:00+00,SHORT,643,0.3100013311786065,-0.015394797,0.09483899
2007-05-23 00:00:00+00,SHORT,2261,0.6821806766371901,0.08041659,0.112076454
2007-05-23 00:00:00+00,SHORT,643,0.2623818401877067,-0.0057401443,0.09792677
2007-05-24 00:00:00+00,SHORT,2261,0.551412715603783,0.085156925,0.105560385
2007-07-17 00:00:00+00,SHORT,2066,0.6732686148346798,0.059019726,0.11746175
