time,side,ticker_id,mv_up_composite_labels,dist_low52_vol_norm_60_df015,dist_lower_bb_50_2.0_df055
2005-03-28 00:00:00+00,LONG,1745,0.2893019870990375,0.13129349,-0.011683443
2005-04-04 00:00:00+00,LONG,270,0.6209346603746909,0.14186195,0.013658304
2005-04-04 00:00:00+00,LONG,2327,0.2939292515961292,0.1509931,-0.01779395
2005-04-05 00:00:00+00,LONG,270,0.7283480087264872,0.13422354,0.008705157
2005-04-05 00:00:00+00,LONG,2751,0.5634195902398978,0.12783091,-0.012538501
2005-04-06 00:00:00+00,LONG,270,0.6366382507931319,0.14336225,-0.011619591
2005-04-06 00:00:00+00,LONG,2751,0.0,0.14066695,-0.025232734
2005-04-07 00:00:00+00,LONG,270,0.6098256879607067,0.14539005,-0.019888
2005-04-07 00:00:00+00,LONG,2751,0.0,0.13296327,-0.021216532
2005-04-08 00:00:00+00,LONG,270,0.5984907203095791,0.1394869,-0.018107146
2005-04-08 00:00:00+00,LONG,2751,0.0,0.13261092,-0.023281928
2005-04-13 00:00:00+00,LONG,2751,0.0,0.124816254,-0.025302056
2005-04-15 00:00:00+00,LONG,3501,0.579296271454269,0.11880929,-0.011215373
2005-04-18 00:00:00+00,LONG,786,1.0,0.13287531,0.0039069927
2005-04-18 00:00:00+00,LONG,1667,0.428714138111044,0.14466673,-0.024432542
2005-04-19 00:00:00+00,LONG,64,0.0,0.13353106,0.01594433
2005-04-19 00:00:00+00,LONG,786,0.9736842105263158,0.14029923,-0.014962504
2005-04-19 00:00:00+00,LONG,1383,0.9591836734693877,0.14402041,0.0021309375
2005-04-19 00:00:00+00,LONG,3519,0.32916426460163506,0.12969536,-0.025798589
2005-04-20 00:00:00+00,LONG,786,0.9473684210526316,0.12510763,-0.0036833903
2005-04-20 00:00:00+00,LONG,1383,0.9387755102040817,0.1361316,6.315454E-5
2005-04-20 00:00:00+00,LONG,3519,0.30892692379608844,0.11926057,-0.0106743025
2005-04-21 00:00:00+00,LONG,64,0.0,0.151195,-0.020942438
2005-04-21 00:00:00+00,LONG,786,0.9210526315789473,0.13264035,-0.023361575
2005-04-21 00:00:00+00,LONG,1585,0.4498381745140004,0.15302074,-0.008096873
2005-04-21 00:00:00+00,LONG,3923,0.2019142470750668,0.11092822,0.009400886
2005-04-22 00:00:00+00,LONG,786,0.8947368421052632,0.11182409,-0.002738342
2005-04-22 00:00:00+00,LONG,3519,0.17846780136364476,0.13340744,-0.019663261
2005-04-25 00:00:00+00,LONG,2410,0.904546540540438,0.119940765,-0.014082229
2005-04-25 00:00:00+00,LONG,786,0.868421052631579,0.11180991,-0.012738312
2005-04-25 00:00:00+00,LONG,3923,0.44319288792866873,0.12052656,-0.010125516
2005-04-26 00:00:00+00,LONG,3923,0.21052800104972647,0.11567496,-0.010455674
2005-04-27 00:00:00+00,LONG,4122,0.0,0.109804586,-0.016675122
2005-04-27 00:00:00+00,LONG,1175,0.4194187422439064,0.13942462,-0.008964834
2005-04-27 00:00:00+00,LONG,3923,0.2571521535500419,0.12840645,-0.023292964
2005-04-28 00:00:00+00,LONG,1175,0.27859728286768193,0.13112536,-5.9827733E-5
2005-04-28 00:00:00+00,LONG,1383,0.8163265306122449,0.14849769,-0.020672144
2005-04-28 00:00:00+00,LONG,3923,0.3078311542233776,0.1094439,-0.009957646
2005-04-29 00:00:00+00,LONG,309,0.7379318653512232,0.12266117,-0.010568808
2005-04-29 00:00:00+00,LONG,1175,0.24929043619333827,0.14777853,-0.011958996
2005-04-29 00:00:00+00,LONG,1462,0.3936198981406554,0.12642413,-0.024452256
2005-04-29 00:00:00+00,LONG,1988,1.0,0.13760825,-0.0040786033
2005-05-02 00:00:00+00,LONG,64,0.0,0.14448567,-0.009265285
2005-05-02 00:00:00+00,LONG,309,0.9545454545454546,0.11588317,-0.016350284
2005-05-03 00:00:00+00,LONG,64,0.0,0.14112057,-0.017656991
2005-05-04 00:00:00+00,LONG,69,1.0,0.13090093,-0.0057643955
2005-05-04 00:00:00+00,LONG,3271,0.5872915867827717,0.12857318,-0.015374973
2005-05-05 00:00:00+00,LONG,64,0.0,0.13069633,-0.021189196
2005-05-05 00:00:00+00,LONG,69,0.9772727272727273,0.120662734,-0.010867215
2005-05-05 00:00:00+00,LONG,3271,0.6159330177717847,0.124137715,-0.023523137
2005-05-13 00:00:00+00,LONG,4169,0.37798133447288085,0.1350267,0.0064671757
2005-05-13 00:00:00+00,LONG,845,1.0,0.111007355,-0.015612168
2005-05-13 00:00:00+00,LONG,1838,0.1079433246813,0.14157969,-0.013088611
2005-05-16 00:00:00+00,LONG,4169,0.2880041206051469,0.15332551,-0.01130234
2005-05-16 00:00:00+00,LONG,1173,1.0,0.13438317,0.005132899
2005-05-16 00:00:00+00,LONG,1673,1.0,0.14451997,-0.014021687
2005-05-16 00:00:00+00,LONG,1838,0.5833333333333334,0.15278894,-0.017449765
2005-05-17 00:00:00+00,LONG,4169,0.19434409230676214,0.15243785,-0.022814473
